AT,EV,AP,RH,PE
5.91,39.33,1010.18,95.53,491.49
23.25,59.87,1018.69,66.4,444.23
23.27,60.84,1019.13,67.24,440.22
20.46,51.43,1010.06,83.79,456.7
20.13,40.33,1005.31,85.42,460.09
32.34,74.99,1002.77,42.83,433.07
9.53,38.38,1020.49,80.08,478.03
22.23,46.93,1013.09,58.02,448.27
5.66,40.0,1022.08,93.03,475.54
6.05,38.68,1017.46,66.13,483.5
25.14,60.93,1007.44,76.71,437.4
10.17,40.46,1018.54,68.21,470.33
24.39,70.72,1009.78,82.25,442.04
21.07,67.07,1004.64,86.16,446.05
21.54,69.48,1011.04,80.48,443.15
20.75,60.77,1017.91,86.06,448.58
10.06,39.61,1020.69,69.49,478.35
24.22,68.51,1013.23,74.96,440.01
14.79,39.52,1017.95,71.97,469.47
25.5,67.83,1009.29,61.29,437.49
30.98,67.48,1009.96,58.92,439.39
15.19,41.43,1011.34,89.67,470.41
10.23,42.32,1017.53,89.93,473.59
18.87,52.05,1012.02,53.46,458.64
26.81,56.57,1013.68,61.6,442.94
14.95,43.52,1022.43,94.75,464.98
9.93,40.67,1018.08,69.74,485.23
14.43,38.91,1013.28,70.26,468.83
3.96,35.47,1016.79,83.81,489.68
22.7,48.14,1014.06,60.09,448.96
25.14,67.32,1013.96,41.78,435.39
30.93,71.85,1008.63,58.47,427.82
14.2,43.02,1012.18,57.07,470.67
29.39,69.89,1013.92,47.36,434.27
12.88,38.53,1010.95,87.16,466.92
28.24,65.27,1013.43,48.74,439.36
19.15,44.34,1019.54,48.09,468.8
18.45,42.44,1013.45,63.52,459.79
28.96,66.54,1002.54,56.33,429.48
14.22,45.08,1023.26,84.41,466.47
22.88,65.48,1017.33,66.26,447.14
9.35,44.03,1011.02,88.11,476.25
26.41,68.24,1010.6,77.79,428.52
25.52,63.94,1017.81,41.54,440.32
23.07,65.27,1013.24,58.38,443.42
18.75,44.9,1007.99,75.76,452.77
13.76,45.87,1008.89,87.27,463.5
13.22,44.92,1023.84,87.99,471.43
34.09,68.51,1009.0,32.96,431.19
13.96,40.83,1009.89,84.86,469.86
28.8,74.9,1003.48,75.01,434.01
28.65,68.27,1006.96,52.78,432.73
5.71,40.77,1022.49,87.9,487.48
11.64,40.22,1010.58,80.84,477.52
9.68,40.77,1022.04,85.23,473.73
24.09,73.68,1014.93,94.55,441.34
22.7,61.41,1012.08,78.08,449.75
27.47,63.78,1016.07,48.47,446.69
9.76,41.01,1019.66,97.59,467.6
6.18,41.38,1020.23,81.38,490.81
10.59,41.54,1019.94,72.52,478.74
34.43,68.51,1010.17,34.09,431.39
28.39,51.43,1011.74,47.54,449.63
29.86,59.57,1011.24,64.02,439.44
29.18,68.24,1010.04,68.04,428.52
17.44,44.89,1009.9,80.54,457.67
26.98,70.94,1007.99,68.16,434.73
14.46,44.78,1007.64,67.03,459.31
24.11,66.51,1015.35,56.01,437.21
19.85,56.53,1020.57,74.05,457.17
15.12,43.79,1016.37,75.62,470.11
28.01,73.18,1012.25,75.02,431.02
15.79,58.86,1015.85,91.91,455.15
16.68,43.14,1018.39,76.48,459.83
9.06,41.92,1029.9,90.88,473.37
17.31,44.71,1017.43,35.4,463.05
15.49,54.3,1017.59,71.26,464.24
30.24,68.3,1016.21,48.25,431.82
14.18,42.99,1007.19,73.21,468.35
28.97,78.92,1011.71,88.5,430.98
30.36,69.04,1009.6,58.73,436.72
13.8,40.2,1013.12,90.59,466.29
13.61,42.34,1017.57,91.35,465.65
9.45,41.4,1027.06,87.35,479.0
14.01,42.74,1029.16,68.31,466.15
22.31,43.43,1010.64,56.44,449.67
13.31,42.18,1016.0,83.94,466.56
25.59,65.46,1014.47,37.89,444.9
25.38,63.87,1018.7,52.48,442.13
7.6,41.04,1021.82,88.97,475.32
13.93,42.86,1032.37,71.11,468.88
25.32,60.37,1006.19,73.94,438.5
23.75,59.07,1007.73,88.82,443.54
13.46,41.4,1019.46,71.73,467.4
30.07,70.04,1010.84,55.74,426.35
24.37,73.42,1010.19,76.01,440.29
23.13,72.24,1010.92,92.3,437.67
23.33,72.99,1009.33,89.41,440.04
25.92,50.16,1003.95,71.3,440.98
21.75,50.12,1009.36,94.41,446.64
25.88,61.47,1007.93,68.71,445.65
24.79,50.78,1008.78,61.88,445.3
12.85,40.0,1015.89,68.85,463.74
16.26,38.58,1016.04,76.7,462.54
21.01,60.1,1010.93,78.6,450.99
31.1,68.51,1012.99,54.3,428.68
6.65,39.33,1011.29,92.85,490.41
25.9,59.54,1007.3,78.38,439.36
21.41,62.39,1007.84,88.83,452.8
28.52,70.02,1010.34,54.21,441.98
25.38,70.94,1007.87,73.59,446.31
9.19,40.62,1017.78,68.91,475.42
25.77,63.31,1012.76,65.98,439.98
12.68,41.16,1020.09,83.32,464.93
27.49,63.76,1010.09,62.8,436.73
13.88,48.79,1017.28,79.4,464.14
7.06,41.38,1021.94,83.55,487.71
26.8,49.3,1003.86,62.75,438.56
13.01,41.17,1017.26,76.2,469.48
19.35,43.43,1009.4,66.11,454.02
25.03,47.93,1003.02,62.89,443.55
18.75,41.1,1001.97,59.6,458.31
22.91,60.07,1016.03,59.72,446.19
14.8,44.71,1014.67,41.71,470.77
27.17,67.17,1006.76,81.59,431.73
27.38,77.24,1008.25,82.49,435.81
26.08,57.32,1012.2,47.06,441.32
24.42,63.31,1012.64,71.8,438.39
29.25,72.99,1006.85,61.15,429.12
7.78,39.18,1024.62,85.15,484.65
24.79,75.6,1017.07,68.23,440.05
17.72,39.99,1007.34,72.3,461.7
28.39,65.51,1014.52,66.48,438.78
27.34,70.98,1008.82,71.42,438.73
16.22,37.87,1022.36,83.13,461.06
20.79,68.28,1001.42,76.77,445.83
5.78,40.62,1016.55,84.98,484.13
25.15,66.49,1012.71,63.46,436.0
23.74,65.34,1013.7,62.9,447.31
24.15,64.63,1020.72,58.06,448.87
24.24,72.43,1008.02,86.4,436.6
20.76,59.04,1012.51,85.39,448.92
5.11,42.07,1004.28,81.8,486.41
19.73,68.63,1012.41,74.12,450.26
4.86,39.4,1012.73,91.39,488.63
9.54,41.17,1019.79,65.61,481.18
9.64,39.35,1015.1,91.76,479.81
13.03,39.35,1015.34,79.18,474.02
10.61,40.77,1022.09,83.62,471.26
20.46,54.2,1011.4,84.0,448.1
22.25,60.77,1017.8,82.19,444.05
30.36,68.08,1010.76,51.32,429.97
23.98,50.32,1008.41,67.75,443.45
25.52,67.17,1007.33,85.12,440.02
23.81,60.08,1017.29,62.66,450.33
28.9,71.25,1000.73,77.24,431.52
33.76,68.51,1011.33,38.35,429.83
13.45,43.14,1015.5,74.33,474.1
14.7,48.6,1006.91,85.65,460.63
21.91,48.7,1006.89,83.97,449.8
11.05,40.75,1016.55,87.08,478.07
21.94,64.15,1021.2,61.75,453.3
21.86,60.27,1016.06,90.48,446.31
31.05,69.13,1000.38,58.49,426.31
14.1,41.16,1021.26,73.87,460.01
19.78,62.1,1019.72,78.36,450.43
12.58,43.67,1014.36,91.72,473.02
22.06,59.39,1015.26,85.04,441.31
14.77,58.2,1018.78,83.83,460.54
27.49,71.94,1008.25,68.29,428.27
5.52,39.33,1009.74,95.25,492.39
24.31,67.79,1010.64,76.15,444.72
11.53,41.39,1018.39,85.52,474.49
24.26,69.71,1008.98,81.58,438.6
6.99,39.37,1020.19,75.06,487.18
22.16,58.82,1009.61,87.16,444.76
22.31,61.45,1009.25,98.56,437.05
24.2,59.43,1009.69,62.3,440.66
16.12,45.87,1008.15,86.12,457.41
24.67,58.05,1011.31,69.95,444.57
27.26,63.77,1014.07,66.58,436.01
12.91,41.66,1013.37,71.52,469.71
11.06,37.92,1008.76,67.32,473.16
15.78,48.6,1007.24,84.23,460.86
16.13,53.82,1015.63,63.08,459.16
24.59,71.94,1006.89,88.52,430.28
26.31,77.95,1012.45,77.22,436.83
12.61,43.22,1013.41,78.94,466.85
24.98,71.98,1006.59,90.61,432.06
7.23,41.22,1015.23,98.04,483.31
32.55,70.94,1006.75,43.15,432.07
14.35,46.18,1016.63,87.76,461.74
18.2,45.01,1013.82,68.14,452.21
11.26,39.35,1015.47,99.28,471.83
28.37,68.12,1012.41,45.87,436.42
14.18,39.3,1020.1,67.48,464.32
29.23,69.59,1009.0,71.41,437.95
13.05,44.34,1018.47,81.2,473.4
17.28,44.92,1024.39,76.08,459.26
17.75,49.78,1004.49,100.09,452.02
27.0,69.34,1008.88,74.4,439.26
10.29,40.56,1017.28,69.13,481.7
22.64,59.27,1012.58,83.55,446.2
27.76,69.4,1004.27,72.25,430.68
13.95,38.73,1003.87,83.94,468.21
7.61,43.22,1014.8,86.92,478.55
21.29,47.45,1008.85,71.6,447.78
33.71,69.98,1013.09,42.62,431.99
32.63,69.89,1013.85,41.66,425.72
12.19,40.05,1014.65,85.1,472.68
9.0,39.18,1024.38,84.91,483.26
32.41,67.83,1008.54,55.96,426.85
23.27,65.48,1019.05,61.36,443.43
15.03,42.44,1014.25,94.52,464.91
24.81,60.95,1014.72,54.71,446.09
16.5,49.39,1018.35,93.42,462.48
21.76,47.93,1005.34,86.28,444.77
11.56,40.43,1025.48,74.75,489.54
24.32,58.79,1016.8,65.61,442.78
24.81,63.94,1018.76,44.51,444.26
19.31,43.56,1013.65,41.54,463.35
5.81,35.79,1012.14,92.28,484.41
22.95,70.98,1005.36,93.76,438.83
31.11,72.25,1012.34,44.45,434.22
13.0,39.28,1016.7,81.94,473.6
26.33,64.45,1013.12,43.31,450.67
24.29,62.91,1013.04,65.85,442.18
8.13,39.99,1011.71,87.89,486.19
25.21,75.6,1017.19,69.84,445.84
27.33,73.18,1012.26,82.18,429.38
23.08,61.86,1013.44,84.64,441.44
24.42,65.94,1011.25,65.04,439.63
11.23,41.17,1019.36,56.85,475.85
13.78,40.0,1018.38,68.67,458.74
7.7,40.72,1022.81,81.97,482.79
25.67,74.78,1010.24,68.87,440.48
18.48,52.05,1012.41,68.2,458.62
24.56,58.82,1011.42,72.47,442.76
10.03,40.96,1024.57,91.1,478.79
28.18,73.03,1014.18,67.72,439.74
19.93,62.1,1019.94,76.41,450.57
29.87,73.68,1015.1,40.96,433.43
9.44,43.99,1020.31,98.06,475.01
25.3,71.58,1010.18,87.36,433.97
8.19,41.66,1016.57,75.38,485.2
23.67,68.67,1006.71,77.22,445.32
7.33,40.0,1018.96,80.76,478.16
24.44,47.93,1003.13,67.04,440.53
17.55,43.14,1018.86,76.0,461.58
13.08,44.9,1020.47,86.46,472.01
7.79,41.01,1024.0,97.2,477.0
7.24,41.17,1020.35,80.56,486.76
29.31,68.67,1006.18,63.38,435.57
15.22,41.67,1013.18,67.17,469.93
10.04,39.66,1015.84,82.31,480.63
9.23,39.66,1019.44,76.11,481.77
8.57,40.23,1017.53,90.46,484.17
15.45,45.0,1023.63,70.74,469.54
31.0,77.95,1010.14,65.97,431.62
8.91,40.69,1015.11,89.65,481.59
27.06,43.77,1011.02,42.61,442.15
25.28,70.32,1006.91,81.74,431.43
16.58,45.87,1009.66,97.59,457.8
15.86,38.62,1016.65,67.51,462.58
25.66,77.54,1008.22,78.42,432.82
29.1,50.05,1005.87,51.53,438.66
28.75,57.55,1004.77,57.55,435.33
20.46,51.43,1007.31,93.25,444.88
30.15,70.32,1007.58,54.14,426.8
13.06,41.78,1012.3,55.31,467.67
22.21,48.14,1015.08,66.8,448.33
8.49,43.69,1016.93,85.63,483.62
28.9,68.12,1011.87,46.56,438.53
9.72,39.66,1018.31,76.07,480.05
20.25,59.8,1015.3,82.69,453.81
31.46,77.17,1009.26,59.61,435.56
18.01,44.2,1018.84,55.72,456.36
24.44,52.84,1006.39,49.05,440.2
11.63,41.5,1013.6,87.11,477.3
9.82,39.64,1010.79,69.22,477.93
13.4,41.58,1020.5,71.17,461.54
16.09,48.78,1015.78,91.12,454.23
17.75,55.5,1020.15,81.26,459.43
7.84,43.52,1022.23,96.51,483.79
14.08,40.73,1017.52,91.49,461.58
16.96,46.36,1019.91,89.11,460.57
12.15,45.01,1018.89,90.02,468.07
30.13,68.94,1005.88,40.71,441.78
25.34,65.61,1014.61,57.51,442.82
13.98,44.84,1023.6,89.09,462.81
12.68,40.73,1017.66,92.08,465.94
23.01,58.79,1009.71,84.22,444.64
23.28,68.28,1000.79,81.35,442.04
19.72,51.19,1008.51,95.28,446.01
10.06,37.83,1005.49,99.46,473.51
24.81,59.87,1018.56,61.18,444.89
11.02,41.44,1015.28,83.53,476.68
10.38,40.71,1025.27,80.87,481.3
8.43,40.6,1015.39,91.81,483.1
14.87,42.77,1017.94,75.06,462.03
7.96,38.91,1016.35,89.17,482.17
23.04,64.27,1014.29,80.23,439.67
29.15,73.42,1011.43,66.49,432.26
29.29,71.14,1011.49,49.97,432.58
13.58,44.47,1029.91,70.41,467.15
21.0,66.86,1013.06,59.7,451.89
32.45,68.3,1015.26,44.12,431.79
20.15,58.59,1014.13,91.96,443.85
28.32,77.95,1014.61,77.17,436.97
19.95,57.25,1011.08,88.04,453.03
23.81,46.93,1013.19,54.82,449.58
7.68,38.06,1020.92,83.87,483.8
25.69,73.18,1012.64,86.35,432.82
15.18,44.2,1019.6,72.45,462.09
24.1,52.84,1006.47,47.58,444.69
18.1,48.06,1015.47,82.47,454.04
22.35,58.59,1013.99,79.78,444.04
22.64,62.44,1011.82,75.07,448.13
23.4,72.99,1009.48,88.82,438.51
24.34,59.54,1004.01,87.07,440.63
28.53,68.08,1013.27,42.53,438.91
23.48,73.67,1007.07,88.49,437.19
8.39,36.3,1015.39,62.23,479.57
14.66,41.92,1030.81,68.88,464.57
11.67,42.74,1025.92,79.57,474.75
14.38,40.73,1017.48,90.64,462.98
27.25,69.98,1008.55,59.55,431.44
31.88,66.44,1009.25,64.06,427.83
8.83,36.25,1028.86,85.6,478.45
28.57,51.43,1012.02,47.79,450.04
21.09,67.07,1004.38,89.01,444.75
24.04,68.94,1007.62,69.11,437.13
25.5,63.91,1009.4,75.22,444.26
25.59,61.08,1013.19,77.28,443.91
30.34,68.08,1010.85,49.4,428.34
10.45,41.01,1020.57,93.84,465.74
10.02,42.44,1014.57,99.16,478.5
24.41,73.67,1007.39,86.92,435.56
26.82,69.23,1013.28,50.86,436.36
25.11,63.21,1012.21,83.58,443.43
17.74,49.78,1004.9,100.09,450.44
22.47,59.43,1006.02,85.21,444.5
26.41,65.59,1010.69,73.78,441.49
28.29,68.08,1010.77,53.92,430.93
31.23,66.75,1017.48,36.55,433.9
8.72,36.25,1029.31,85.73,479.94
19.83,51.43,1007.36,91.64,449.45
29.45,69.13,1009.3,52.97,432.04
12.65,41.93,1023.07,65.05,479.53
30.39,66.54,1002.7,59.15,428.89
26.43,77.17,1008.67,92.59,431.26
29.55,66.25,1009.38,69.55,436.29
24.32,65.48,1017.55,59.02,443.31
28.64,66.54,1010.43,43.39,437.97
23.66,69.51,1012.9,52.59,435.39
20.87,57.19,1006.5,77.0,445.95
19.48,58.79,1017.6,88.72,450.55
11.48,42.02,1000.29,94.76,471.43
22.42,59.43,1007.12,90.56,440.99
13.64,44.88,1019.85,56.86,466.66
5.25,40.07,1019.48,67.7,495.23
21.64,44.05,1007.73,74.79,447.96
27.55,65.59,1011.6,63.99,440.53
12.76,40.27,1006.58,49.34,474.03
27.83,72.29,1012.04,48.86,445.73
20.26,51.19,1008.9,93.47,448.1
21.92,64.63,1020.42,65.22,452.49
13.83,41.49,1020.11,87.29,469.57
25.92,60.32,1016.05,52.51,448.37
14.78,42.86,1015.32,84.75,471.17
21.87,49.39,1019.99,67.05,451.97
12.85,40.92,1023.04,84.04,461.05
22.72,64.15,1021.14,60.34,453.13
11.02,40.71,1020.3,86.64,469.31
13.89,41.49,1020.02,86.47,469.6
13.51,43.22,1009.63,75.02,465.89
25.45,72.24,1011.44,80.54,434.92
10.73,44.92,1025.1,85.4,476.81
18.16,39.99,1008.13,68.5,461.16
30.63,53.3,1004.91,53.3,430.27
10.06,39.61,1020.87,74.01,476.92
27.18,62.66,1009.89,52.83,442.16
15.51,36.71,1014.05,72.92,465.85
5.62,40.62,1015.81,85.34,483.13
28.88,73.68,1015.25,47.73,432.93
16.97,42.86,1013.92,74.8,463.62
13.78,45.51,1015.56,69.92,468.17
8.35,43.52,1022.78,97.34,479.31
15.14,49.64,1023.78,75.0,463.58
11.89,40.03,1019.53,89.48,471.85
21.55,44.57,1006.03,71.54,446.84
13.35,39.58,1012.41,83.45,465.85
30.21,79.74,1006.82,54.03,430.83
22.88,71.73,1010.11,86.96,436.36
28.61,69.75,1009.82,71.7,440.53
30.65,71.06,1008.61,76.76,432.08
24.97,63.86,1018.64,52.01,441.61
5.1,35.57,1027.17,80.49,489.96
10.23,41.46,1020.45,84.95,480.87
5.33,39.33,1009.61,94.97,491.17
11.89,40.64,1021.29,97.16,476.99
24.27,61.47,1007.84,80.85,448.66
21.6,62.52,1017.23,67.87,453.28
20.95,70.72,1009.96,87.73,445.66
23.92,66.54,1009.93,62.37,441.9
13.97,41.16,1020.88,74.88,459.84
25.77,59.39,1014.76,69.99,438.64
26.51,67.25,1017.85,64.17,435.52
17.69,46.36,1019.55,86.64,462.81
10.98,41.39,1017.54,85.31,476.31
22.32,59.8,1016.82,64.18,451.21
21.47,70.32,1011.72,88.36,440.0
15.87,41.16,1005.85,78.29,463.86
16.05,65.46,1013.92,87.99,456.94
12.93,45.51,1015.27,87.27,469.83
26.82,60.96,1012.25,57.41,449.81
13.95,71.14,1019.76,75.51,461.18
22.49,56.9,1007.65,63.34,449.64
33.68,68.14,1002.75,56.05,427.53
23.0,60.27,1018.72,84.25,442.0
28.29,68.67,1005.46,69.22,436.4
17.01,49.15,1021.83,84.02,458.78
28.04,69.14,1007.16,80.38,436.37
9.83,41.17,1019.34,72.29,478.21
31.87,67.32,1013.65,36.69,435.47
21.89,58.62,1016.15,74.59,450.05
23.96,65.34,1015.52,56.82,449.23
31.43,69.89,1014.8,56.22,426.15
26.81,61.47,1009.68,68.34,443.66
26.93,62.44,1011.02,70.05,435.11
21.89,74.93,1016.11,77.88,448.47
25.32,71.94,1009.94,62.93,435.06
28.29,69.13,1009.29,58.18,429.28
34.48,74.34,1000.91,42.61,433.94
23.74,72.43,1007.99,91.36,437.55
30.26,71.77,1006.24,58.98,429.27
10.74,41.46,1016.76,84.59,479.94
27.56,68.08,1010.8,59.18,433.95
16.31,42.28,1007.45,77.77,466.49
17.21,52.9,1019.91,77.31,460.88
4.87,42.85,1012.69,94.72,482.05
23.69,58.05,1012.08,74.26,444.46
20.04,58.2,1017.56,74.31,448.92
6.4,39.18,1024.6,86.83,484.44
21.79,60.93,1006.44,87.68,443.01
16.0,42.86,1013.88,81.74,467.5
24.54,72.24,1011.43,74.1,435.08
6.86,38.08,1019.62,77.37,486.92
6.65,40.69,1020.11,89.84,479.35
16.85,41.35,1006.14,79.21,463.37
6.69,43.65,1020.14,69.55,482.57
29.42,74.9,1004.11,64.53,434.66
23.64,58.49,1011.4,74.2,445.75
15.21,35.4,1016.31,58.26,468.18
19.65,44.89,1009.76,75.36,451.35
23.2,49.3,1003.4,79.77,440.75
31.54,67.32,1013.79,36.99,433.02
13.65,44.6,1017.99,87.04,466.06
24.85,70.09,1006.56,70.09,439.96
18.06,65.48,1018.79,77.95,454.34
8.99,39.04,1021.99,75.98,483.35
22.92,63.94,1019.28,42.69,444.22
19.66,51.43,1010.17,84.19,459.12
24.48,69.13,1002.88,69.43,432.71
12.87,39.3,1019.26,71.55,471.48
15.79,50.88,1014.58,99.9,460.19
13.8,39.82,1012.37,83.69,473.56
17.68,45.17,1017.5,77.57,461.96
14.8,44.21,1021.59,89.24,466.21
7.55,38.08,1019.37,76.32,485.49
11.18,39.61,1018.56,68.0,468.75
23.85,52.3,1005.9,70.95,441.99
27.86,63.07,1011.11,56.81,440.48
26.63,64.44,1012.66,61.19,442.0
21.83,63.07,1011.57,87.02,443.1
25.09,58.95,1016.99,53.16,443.26
31.35,68.67,1005.26,66.85,433.73
15.04,41.35,1004.29,99.1,467.96
10.02,38.18,1017.43,68.4,476.83
33.13,74.34,999.57,48.34,433.73
28.25,57.19,1007.99,67.9,436.99
24.04,72.43,1008.02,87.2,439.39
7.73,39.04,1018.61,68.23,482.39
3.98,35.47,1017.22,86.53,489.64
25.24,68.28,1000.26,78.17,435.9
12.27,39.82,1012.18,85.58,477.54
16.9,38.58,1014.09,70.11,459.87
26.8,72.58,1009.22,89.03,431.18
8.05,40.8,1028.01,89.56,483.43
11.52,40.03,1017.56,87.87,472.31
28.21,70.02,1010.58,51.34,442.47
14.78,41.17,1016.42,67.42,469.69
17.68,53.16,1013.09,82.79,456.86
10.72,41.17,1019.68,60.71,479.21
6.17,39.33,1012.57,93.32,491.54
21.71,58.05,1013.07,85.75,449.38
26.82,64.96,999.72,63.55,427.51
7.14,39.4,1011.68,91.84,482.82
23.05,48.98,1015.64,49.33,446.05
6.71,40.96,1022.71,91.89,486.58
23.04,74.22,1009.52,90.93,440.32
13.63,43.22,1012.71,72.85,464.62
20.5,51.19,1009.0,91.79,445.35
7.95,41.26,1008.48,97.92,480.6
6.54,39.33,1011.54,93.69,491.16
26.78,52.3,1008.52,61.23,441.21
21.11,58.66,1011.7,68.71,457.89
8.83,41.14,1025.37,94.36,474.51
14.43,35.85,1021.99,78.25,464.6
5.67,45.87,1008.91,93.29,478.44
14.62,43.99,1023.6,86.7,461.88
26.53,54.2,1012.9,66.73,439.96
18.41,44.89,1009.75,77.24,448.88
12.79,41.62,1010.52,81.83,466.91
18.4,50.16,1011.51,98.07,453.78
17.28,65.94,1013.62,89.97,454.76
21.31,58.66,1012.67,69.36,451.96
25.79,70.4,1007.11,86.03,437.98
11.64,41.39,1017.36,83.4,479.53
22.98,51.95,1006.83,74.92,454.63
24.98,60.32,1016.39,63.12,446.46
33.3,80.18,1011.09,63.98,430.16
28.86,67.9,1006.29,57.19,432.97
25.7,69.45,1013.86,56.91,437.04
27.2,65.12,1016.2,44.95,442.54
26.86,72.58,1009.22,88.39,428.69
15.34,41.23,996.87,86.56,465.16
29.64,67.79,1009.99,51.23,440.74
12.56,43.41,1016.93,81.02,467.19
32.32,67.9,1006.08,37.93,428.12
14.35,49.83,1006.39,91.23,462.54
13.15,40.78,1024.13,79.59,462.3
22.43,63.21,1012.06,84.75,447.98
14.48,40.89,1011.39,82.18,470.44
24.54,60.23,1011.55,72.78,445.25
15.56,40.12,1013.72,89.78,461.21
32.09,79.74,1006.92,61.5,432.85
20.88,56.85,1010.91,84.28,440.08
22.73,66.75,1018.13,84.06,437.93
11.93,41.38,1021.76,57.63,473.88
24.97,50.23,1015.6,56.79,454.35
23.23,71.77,1005.01,88.1,432.8
16.06,47.45,1009.97,88.09,450.62
13.02,45.51,1015.24,80.05,468.46
26.57,73.21,1002.31,92.51,431.68
26.17,48.92,1009.87,34.43,440.09
