instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
16389,20-11-2012,4,1,11,14,0,2,1,2,0.44,0.4394,0.58,0.1045,224
16955,14-12-2012,4,1,12,5,0,5,1,1,0.2,0.2273,0.69,0.1045,34
6020,13-09-2011,3,0,9,9,0,2,1,1,0.64,0.6061,0.69,0.0896,214
7981,04-12-2011,4,0,12,4,0,0,0,1,0.26,0.303,0.87,0,11
5744,01-09-2011,3,0,9,18,0,4,1,1,0.72,0.6667,0.54,0.2239,531
868,08-02-2011,1,0,2,14,0,2,1,1,0.22,0.197,0.37,0.4179,64
218,10-01-2011,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188
14282,23-08-2012,3,1,8,6,0,4,1,2,0.6,0.5455,0.88,0.0896,192
11293,20-04-2012,2,1,4,17,0,5,1,1,0.64,0.6212,0.47,0.2836,819
1117,19-02-2011,1,0,2,6,0,6,0,1,0.4,0.4091,0.17,0.4179,6
5052,03-08-2011,3,0,8,9,0,3,1,2,0.74,0.6818,0.55,0.194,195
5745,01-09-2011,3,0,9,19,0,4,1,1,0.7,0.6515,0.58,0.1642,443
10195,05-03-2012,1,1,3,20,0,1,1,1,0.26,0.2273,0.37,0.4627,179
6611,08-10-2011,4,0,10,0,0,6,0,1,0.48,0.4697,0.72,0,89
1030,15-02-2011,1,0,2,14,0,2,1,1,0.34,0.3182,0.19,0.2239,79
6122,17-09-2011,3,0,9,15,0,6,0,2,0.52,0.5,0.72,0.194,354
11919,16-05-2012,2,1,5,19,0,3,1,1,0.7,0.6515,0.54,0.2836,590
11999,20-05-2012,2,1,5,3,0,0,0,1,0.54,0.5152,0.56,0.0896,66
15990,03-11-2012,4,1,11,22,0,6,0,1,0.32,0.3333,0.57,0.1045,146
5143,07-08-2011,3,0,8,4,0,0,0,1,0.7,0.6667,0.84,0.1343,6
1869,23-03-2011,2,0,3,15,0,3,1,2,0.38,0.3939,0.82,0.2239,85
9884,21-02-2012,1,1,2,20,0,2,1,1,0.34,0.3182,0.53,0.2537,227
13449,19-07-2012,3,1,7,13,0,4,1,1,0.84,0.7727,0.47,0.1343,254
3265,20-05-2011,2,0,5,22,0,5,1,1,0.54,0.5152,0.73,0,152
6902,20-10-2011,4,0,10,4,0,4,1,1,0.5,0.4848,0.82,0.4627,8
11065,11-04-2012,2,1,4,5,0,3,1,1,0.28,0.2727,0.56,0.194,27
13184,08-07-2012,3,1,7,12,0,0,0,1,0.92,0.8939,0.42,0.194,376
10918,05-04-2012,2,1,4,1,0,4,1,1,0.48,0.4697,0.27,0.3284,13
12281,31-05-2012,2,1,5,21,0,4,1,1,0.68,0.6364,0.44,0.1642,359
10643,24-03-2012,2,1,3,13,0,6,0,3,0.52,0.5,0.94,0.2537,196
2359,13-04-2011,2,0,4,4,0,3,1,3,0.4,0.4091,0.94,0.3284,3
13209,09-07-2012,3,1,7,13,0,1,1,2,0.76,0.697,0.55,0.2537,255
7096,28-10-2011,4,0,10,6,0,5,1,1,0.28,0.2727,0.65,0.2537,75
11302,21-04-2012,2,1,4,2,0,6,0,1,0.52,0.5,0.77,0.1343,81
7579,17-11-2011,4,0,11,9,0,4,1,2,0.34,0.303,0.61,0.3284,198
4477,10-07-2011,3,0,7,10,0,0,0,1,0.76,0.697,0.55,0.1343,268
2709,27-04-2011,2,0,4,18,0,3,1,3,0.66,0.6061,0.83,0.3881,412
15630,18-10-2012,4,1,10,10,0,4,1,2,0.52,0.5,0.68,0.2239,218
11314,21-04-2012,2,1,4,14,0,6,0,1,0.7,0.6364,0.45,0.2836,609
11304,21-04-2012,2,1,4,4,0,6,0,1,0.5,0.4848,0.82,0.2537,9
4542,13-07-2011,3,0,7,3,0,3,1,1,0.74,0.6818,0.58,0.194,4
10732,28-03-2012,2,1,3,6,0,3,1,1,0.36,0.3333,0.46,0.3582,115
15702,21-10-2012,4,1,10,10,0,0,0,1,0.5,0.4848,0.48,0.2985,443
6657,09-10-2011,4,0,10,22,0,0,0,2,0.52,0.5,0.94,0,152
6644,09-10-2011,4,0,10,9,0,0,0,1,0.5,0.4848,0.77,0,185
47,02-01-2011,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
12486,09-06-2012,2,1,6,10,0,6,0,1,0.7,0.6515,0.51,0.1045,466
16610,29-11-2012,4,1,11,20,0,4,1,1,0.3,0.303,0.52,0.1642,252
8757,05-01-2012,1,1,1,16,0,4,1,1,0.36,0.3333,0.34,0.2836,197
2929,06-05-2011,2,0,5,22,0,5,1,1,0.46,0.4545,0.72,0.2239,151
8761,05-01-2012,1,1,1,20,0,4,1,1,0.3,0.3333,0.49,0,177
3852,14-06-2011,2,0,6,9,0,2,1,1,0.62,0.6212,0.46,0.194,193
5956,10-09-2011,3,0,9,16,0,6,0,1,0.74,0.6818,0.55,0.194,431
4877,27-07-2011,3,0,7,2,0,3,1,1,0.76,0.697,0.52,0.2985,6
736,03-02-2011,1,0,2,0,0,4,1,1,0.2,0.1667,0.4,0.4478,12
640,29-01-2011,1,0,1,22,0,6,0,1,0.16,0.197,0.8,0.0896,32
9305,28-01-2012,1,1,1,14,0,6,0,1,0.38,0.3939,0.5,0.3881,362
16208,13-11-2012,4,1,11,1,0,2,1,3,0.44,0.4394,0.88,0.6418,5
2758,29-04-2011,2,0,4,19,0,5,1,1,0.46,0.4545,0.55,0.3284,270
17059,18-12-2012,4,1,12,13,0,2,1,1,0.5,0.4848,0.42,0.2836,286
6362,27-09-2011,4,0,9,15,0,2,1,2,0.68,0.6364,0.83,0.0896,205
11277,20-04-2012,2,1,4,1,0,5,1,1,0.46,0.4545,0.82,0.194,25
9268,27-01-2012,1,1,1,1,0,5,1,2,0.4,0.4091,0.87,0.2239,29
10947,06-04-2012,2,1,4,6,0,5,1,1,0.3,0.2727,0.49,0.3881,80
6680,10-10-2011,4,0,10,21,1,1,0,1,0.56,0.5303,0.88,0.0896,175
14270,22-08-2012,3,1,8,18,0,3,1,3,0.66,0.6212,0.61,0.2239,683
14633,06-09-2012,3,1,9,21,0,4,1,1,0.64,0.5758,0.89,0.1642,272
8847,09-01-2012,1,1,1,10,0,1,1,1,0.24,0.2879,0.6,0,108
6239,22-09-2011,3,0,9,12,0,4,1,2,0.66,0.6061,0.83,0.1642,176
15222,01-10-2012,4,1,10,10,0,1,1,1,0.54,0.5152,0.56,0,179
7913,01-12-2011,4,0,12,8,0,4,1,1,0.26,0.2273,0.6,0.3284,477
5030,02-08-2011,3,0,8,11,0,2,1,1,0.84,0.7273,0.32,0.4179,128
4290,02-07-2011,3,0,7,15,0,6,0,1,0.86,0.7273,0.19,0.1642,331
2197,06-04-2011,2,0,4,9,0,3,1,1,0.36,0.3333,0.46,0.2537,165
15073,25-09-2012,4,1,9,5,0,2,1,1,0.42,0.4242,0.77,0.0896,47
527,24-01-2011,1,0,1,1,0,1,1,1,0.04,0.0455,0.45,0.194,1
10458,16-03-2012,1,1,3,20,0,5,1,1,0.46,0.4545,0.88,0,235
441,20-01-2011,1,0,1,9,0,4,1,2,0.24,0.2273,0.52,0.2239,143
15730,22-10-2012,4,1,10,14,0,1,1,1,0.62,0.6061,0.27,0.194,282
6495,03-10-2011,4,0,10,4,0,1,1,1,0.34,0.3485,0.87,0.1045,8
11447,27-04-2012,2,1,4,3,0,5,1,1,0.44,0.4394,0.47,0.4925,3
16277,15-11-2012,4,1,11,22,0,4,1,2,0.32,0.3182,0.66,0.1642,153
16981,15-12-2012,4,1,12,7,0,6,0,2,0.24,0.2576,0.75,0.0896,48
2909,06-05-2011,2,0,5,2,0,5,1,1,0.38,0.3939,0.62,0.1045,16
2388,14-04-2011,2,0,4,9,0,4,1,1,0.46,0.4545,0.51,0.1343,170
13722,30-07-2012,3,1,7,22,0,1,1,2,0.7,0.6667,0.74,0.2239,230
16603,29-11-2012,4,1,11,13,0,4,1,1,0.38,0.3939,0.32,0.1343,224
11981,19-05-2012,2,1,5,9,0,6,0,1,0.56,0.5303,0.43,0.1642,292
3280,21-05-2011,2,0,5,13,0,6,0,1,0.7,0.6364,0.45,0,462
10542,20-03-2012,1,1,3,8,0,2,1,2,0.52,0.5,0.88,0.1045,516
217,10-01-2011,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77
9630,11-02-2012,1,1,2,4,0,6,0,3,0.24,0.2273,0.87,0.2239,4
8009,05-12-2011,4,0,12,8,0,1,1,1,0.32,0.3485,0.93,0,404
9336,29-01-2012,1,1,1,21,0,0,0,1,0.3,0.2879,0.33,0.2836,69
4905,28-07-2011,3,0,7,6,0,4,1,1,0.7,0.6515,0.7,0.0896,116
16548,27-11-2012,4,1,11,5,0,2,1,2,0.3,0.2879,0.81,0.2239,31
15518,13-10-2012,4,1,10,18,0,6,0,1,0.46,0.4545,0.44,0.1343,473
1534,09-03-2011,1,0,3,6,0,3,1,2,0.24,0.2576,0.85,0.1045,49
1214,23-02-2011,1,0,2,15,0,3,1,1,0.34,0.3485,0.25,0.0896,72
3442,28-05-2011,2,0,5,7,0,6,0,1,0.6,0.5606,0.83,0.2537,50
4405,07-07-2011,3,0,7,10,0,4,1,1,0.78,0.7424,0.62,0,101
1014,14-02-2011,1,0,2,21,0,1,1,1,0.36,0.3182,0.5,0.5224,43
15505,13-10-2012,4,1,10,5,0,6,0,1,0.3,0.2879,0.61,0.194,11
6311,25-09-2011,4,0,9,12,0,0,0,2,0.66,0.6061,0.78,0,413
13774,02-08-2012,3,1,8,2,0,4,1,1,0.66,0.6061,0.83,0.0896,11
17040,17-12-2012,4,1,12,18,0,1,1,2,0.4,0.4091,0.94,0.0896,507
10625,23-03-2012,2,1,3,19,0,5,1,1,0.66,0.6212,0.5,0.194,686
4095,24-06-2011,3,0,6,12,0,5,1,1,0.8,0.7121,0.41,0.2836,201
12624,15-06-2012,2,1,6,4,0,5,1,1,0.56,0.5303,0.83,0.1642,14
5983,11-09-2011,3,0,9,19,0,0,0,1,0.64,0.6061,0.69,0.1045,333
4536,12-07-2011,3,0,7,21,0,2,1,1,0.82,0.7424,0.43,0.1045,258
14478,31-08-2012,3,1,8,10,0,5,1,1,0.76,0.7121,0.62,0.0896,256
337,15-01-2011,1,0,1,12,0,6,0,1,0.24,0.2273,0.48,0.2239,89
16959,14-12-2012,4,1,12,9,0,5,1,1,0.24,0.2424,0.75,0.1343,343
1133,19-02-2011,1,0,2,22,0,6,0,1,0.3,0.2576,0.28,0.4925,44
11180,16-04-2012,2,1,4,0,1,1,0,1,0.64,0.6212,0.53,0.3284,41
10574,21-03-2012,2,1,3,16,0,3,1,1,0.58,0.5455,0.73,0,378
14847,15-09-2012,3,1,9,19,0,6,0,1,0.62,0.6212,0.41,0.1642,478
430,19-01-2011,1,0,1,22,0,3,1,1,0.3,0.303,0.52,0.1642,59
17316,29-12-2012,1,1,12,8,0,6,0,2,0.26,0.2424,0.81,0,44
10158,04-03-2012,1,1,3,7,0,0,0,2,0.3,0.2727,0.52,0.2985,23
2230,07-04-2011,2,0,4,18,0,4,1,1,0.48,0.4697,0.55,0.2537,333
8326,18-12-2011,4,0,12,13,0,0,0,1,0.3,0.2727,0.49,0.2985,228
15768,24-10-2012,4,1,10,4,0,3,1,1,0.5,0.4848,0.77,0.0896,6
5462,20-08-2011,3,0,8,11,0,6,0,1,0.72,0.6667,0.58,0,338
11045,10-04-2012,2,1,4,8,0,2,1,1,0.38,0.3939,0.62,0.1343,692
8199,13-12-2011,4,0,12,6,0,2,1,1,0.2,0.2576,0.8,0,92
12196,28-05-2012,2,1,5,8,1,1,0,1,0.66,0.6212,0.69,0,155
14900,18-09-2012,3,1,9,0,0,2,1,3,0.6,0.5152,0.94,0.2537,13
16771,06-12-2012,4,1,12,13,0,4,1,1,0.3,0.3333,0.39,0,245
10138,03-03-2012,1,1,3,11,0,6,0,2,0.4,0.4091,0.87,0.0896,214
239,11-01-2011,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,99
1193,22-02-2011,1,0,2,17,0,2,1,1,0.22,0.2121,0.51,0.2239,196
4070,23-06-2011,3,0,6,11,0,4,1,3,0.76,0.7273,0.66,0.2537,136
12827,23-06-2012,3,1,6,15,0,6,0,1,0.84,0.7273,0.3,0.3284,483
1845,22-03-2011,2,0,3,14,0,2,1,1,0.5,0.4848,0.42,0.3284,101
6377,28-09-2011,4,0,9,6,0,3,1,3,0.6,0.5152,0.94,0.1642,114
5976,11-09-2011,3,0,9,12,0,0,0,1,0.7,0.6515,0.65,0,411
16556,27-11-2012,4,1,11,13,0,2,1,3,0.28,0.2727,0.87,0.2537,77
8021,05-12-2011,4,0,12,20,0,1,1,2,0.46,0.4545,0.82,0.1045,205
1490,07-03-2011,1,0,3,10,0,1,1,1,0.24,0.2121,0.6,0.2985,58
16399,21-11-2012,4,1,11,0,0,3,1,1,0.34,0.3636,0.81,0,26
1692,16-03-2011,1,0,3,3,0,3,1,2,0.28,0.2727,1,0.2239,3
647,30-01-2011,1,0,1,5,0,0,0,1,0.14,0.2121,0.86,0,3
4241,30-06-2011,3,0,6,14,0,4,1,1,0.78,0.6818,0.31,0.194,163
163,08-01-2011,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16
4355,05-07-2011,3,0,7,8,0,2,1,1,0.72,0.6818,0.62,0.1343,432
3978,19-06-2011,2,0,6,15,0,0,0,2,0.74,0.6818,0.55,0.1045,362
10960,06-04-2012,2,1,4,19,0,5,1,1,0.48,0.4697,0.23,0.2985,412
958,12-02-2011,1,0,2,12,0,6,0,1,0.3,0.2727,0.39,0.4627,120
10299,10-03-2012,1,1,3,4,0,6,0,1,0.24,0.2121,0.41,0.3582,4
14467,30-08-2012,3,1,8,23,0,4,1,1,0.7,0.6667,0.74,0.1045,152
10580,21-03-2012,2,1,3,22,0,3,1,1,0.52,0.5,0.83,0.1642,197
11052,10-04-2012,2,1,4,15,0,2,1,1,0.56,0.5303,0.21,0.2985,203
2912,06-05-2011,2,0,5,5,0,5,1,1,0.34,0.3485,0.81,0.1045,16
15427,09-10-2012,4,1,10,23,0,2,1,2,0.48,0.4697,0.77,0.0896,84
1792,20-03-2011,1,0,3,8,0,0,0,1,0.28,0.2727,0.56,0.1642,37
13172,08-07-2012,3,1,7,0,0,0,0,1,0.82,0.7879,0.56,0.1343,147
7999,04-12-2011,4,0,12,22,0,0,0,1,0.34,0.3485,0.87,0.1045,64
10223,07-03-2012,1,1,3,0,0,3,1,1,0.28,0.2576,0.65,0.2836,15
5795,03-09-2011,3,0,9,21,0,6,0,1,0.68,0.6364,0.83,0.1343,164
12779,21-06-2012,3,1,6,15,0,4,1,1,0.92,0.8333,0.33,0.1642,194
7844,28-11-2011,4,0,11,11,0,1,1,2,0.52,0.5,0.68,0.1045,118
14722,10-09-2012,3,1,9,14,0,1,1,1,0.66,0.6212,0.36,0.2836,340
207,09-01-2011,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20
9349,30-01-2012,1,1,1,10,0,1,1,1,0.22,0.2121,0.41,0.2836,85
15754,23-10-2012,4,1,10,14,0,2,1,1,0.68,0.6364,0.41,0.1642,296
935,11-02-2011,1,0,2,13,0,5,1,1,0.24,0.2273,0.35,0.194,110
8945,13-01-2012,1,1,1,13,0,5,1,1,0.26,0.2121,0.33,0.5224,154
16990,15-12-2012,4,1,12,16,0,6,0,1,0.4,0.4091,0.5,0.1343,413
11263,19-04-2012,2,1,4,11,0,4,1,1,0.52,0.5,0.48,0,229
6106,16-09-2011,3,0,9,23,0,5,1,1,0.5,0.4848,0.59,0,126
6279,24-09-2011,4,0,9,4,0,6,0,1,0.56,0.5303,0.94,0.1045,8
14800,13-09-2012,3,1,9,20,0,4,1,1,0.62,0.6061,0.69,0.1045,463
2335,12-04-2011,2,0,4,4,0,2,1,2,0.56,0.5303,0.64,0.1343,6
8451,23-12-2011,1,0,12,18,0,5,1,1,0.36,0.3333,0.5,0.2537,95
11278,20-04-2012,2,1,4,2,0,5,1,1,0.44,0.4394,0.88,0.194,21
12552,12-06-2012,2,1,6,4,0,2,1,3,0.6,0.5455,0.88,0.1642,4
10992,08-04-2012,2,1,4,3,0,0,0,1,0.42,0.4242,0.26,0.1343,26
11009,08-04-2012,2,1,4,20,0,0,0,1,0.56,0.5303,0.28,0.4179,211
2150,04-04-2011,2,0,4,10,0,1,1,2,0.54,0.5152,0.45,0.3582,90
7337,07-11-2011,4,0,11,7,0,1,1,2,0.28,0.3182,0.93,0,311
15272,03-10-2012,4,1,10,12,0,3,1,2,0.7,0.6515,0.7,0.1045,358
1298,27-02-2011,1,0,2,6,0,0,0,1,0.24,0.2879,0.87,0,3
2094,02-04-2011,2,0,4,2,0,6,0,1,0.24,0.2424,0.75,0.1343,21
11958,18-05-2012,2,1,5,10,0,5,1,1,0.6,0.6212,0.46,0.1343,255
3810,12-06-2011,2,0,6,15,0,0,0,1,0.8,0.7727,0.59,0.2985,360
12578,13-06-2012,2,1,6,6,0,3,1,1,0.6,0.5606,0.83,0.2239,194
11980,19-05-2012,2,1,5,8,0,6,0,1,0.52,0.5,0.52,0.1642,195
16681,02-12-2012,4,1,12,19,0,0,0,2,0.4,0.4091,0.82,0.194,174
7311,06-11-2011,4,0,11,5,0,0,0,1,0.24,0.2424,0.87,0.1343,5
1728,17-03-2011,1,0,3,15,0,4,1,1,0.52,0.5,0.42,0.2537,125
12192,28-05-2012,2,1,5,4,1,1,0,1,0.6,0.5758,0.78,0.1343,6
6206,21-09-2011,3,0,9,3,0,3,1,2,0.54,0.5152,0.94,0.0896,6
13632,27-07-2012,3,1,7,4,0,5,1,1,0.7,0.6667,0.79,0,8
2555,21-04-2011,2,0,4,8,0,4,1,2,0.4,0.4091,0.5,0.4925,365
13747,31-07-2012,3,1,7,23,0,2,1,2,0.66,0.6061,0.83,0.1642,147
3358,24-05-2011,2,0,5,19,0,2,1,1,0.66,0.6212,0.74,0.194,355
6452,01-10-2011,4,0,10,9,0,6,0,3,0.4,0.4091,0.82,0.3582,129
4886,27-07-2011,3,0,7,11,0,3,1,1,0.8,0.697,0.31,0,136
3401,26-05-2011,2,0,5,14,0,4,1,1,0.82,0.7727,0.52,0.2836,189
16252,14-11-2012,4,1,11,21,0,3,1,1,0.3,0.3333,0.56,0,213
1279,26-02-2011,1,0,2,10,0,6,0,2,0.3,0.303,0.49,0.1343,85
7863,29-11-2011,4,0,11,6,0,2,1,1,0.52,0.5,0.83,0.2836,89
3911,16-06-2011,2,0,6,20,0,4,1,1,0.62,0.5758,0.83,0.3284,201
12957,29-06-2012,3,1,6,1,0,5,1,1,0.74,0.6667,0.51,0.1642,42
15664,19-10-2012,4,1,10,20,0,5,1,1,0.52,0.5,0.77,0.194,229
14830,15-09-2012,3,1,9,2,0,6,0,1,0.58,0.5455,0.78,0.1045,93
15596,17-10-2012,4,1,10,0,0,3,1,1,0.38,0.3939,0.76,0,49
10703,27-03-2012,2,1,3,1,0,2,1,1,0.3,0.2727,0.26,0.4627,5
16080,07-11-2012,4,1,11,16,0,3,1,2,0.32,0.2879,0.53,0.3582,273
13188,08-07-2012,3,1,7,16,0,0,0,2,0.8,0.803,0.66,0.2239,291
10527,19-03-2012,1,1,3,17,0,1,1,1,0.64,0.6212,0.53,0.2239,721
6149,18-09-2011,3,0,9,18,0,0,0,2,0.56,0.5303,0.6,0.1045,289
2171,05-04-2011,2,0,4,7,0,2,1,2,0.48,0.4697,0.88,0.3284,134
7668,21-11-2011,4,0,11,2,0,1,1,3,0.44,0.4394,1,0.194,3
869,08-02-2011,1,0,2,15,0,2,1,1,0.22,0.197,0.35,0.3881,51
2111,02-04-2011,2,0,4,19,0,6,0,1,0.36,0.3333,0.53,0.3582,148
13730,31-07-2012,3,1,7,6,0,2,1,1,0.64,0.5758,0.89,0.1642,194
16578,28-11-2012,4,1,11,11,0,3,1,1,0.32,0.3182,0.45,0.1642,146
6361,27-09-2011,4,0,9,14,0,2,1,2,0.68,0.6364,0.79,0.1045,152
16491,24-11-2012,4,1,11,20,0,6,0,1,0.24,0.2121,0.44,0.2836,58
14098,15-08-2012,3,1,8,14,0,3,1,2,0.76,0.697,0.52,0.2985,255
8444,23-12-2011,1,0,12,11,0,5,1,1,0.4,0.4091,0.58,0.4478,174
1872,23-03-2011,2,0,3,18,0,3,1,3,0.38,0.3939,0.82,0.2537,238
9352,30-01-2012,1,1,1,13,0,1,1,1,0.3,0.2879,0.31,0.194,132
4983,31-07-2011,3,0,7,12,0,0,0,1,0.9,0.7727,0.25,0.194,338
912,10-02-2011,1,0,2,12,0,4,1,1,0.16,0.1364,0.34,0.3881,69
3323,23-05-2011,2,0,5,8,0,1,1,1,0.6,0.5455,0.88,0.194,409
14110,16-08-2012,3,1,8,2,0,4,1,1,0.64,0.6061,0.69,0.194,15
11171,15-04-2012,2,1,4,15,0,0,0,1,0.7,0.6364,0.39,0.3881,617
5837,05-09-2011,3,0,9,15,1,1,0,2,0.68,0.6364,0.79,0.2836,253
16543,27-11-2012,4,1,11,0,0,2,1,2,0.32,0.3333,0.66,0.0896,26
1362,02-03-2011,1,0,3,0,0,3,1,1,0.22,0.2273,0.69,0.1642,8
10039,28-02-2012,1,1,2,7,0,2,1,1,0.28,0.2576,0.45,0.2985,325
2593,22-04-2011,2,0,4,22,0,5,1,3,0.3,0.303,1,0.1343,24
914,10-02-2011,1,0,2,14,0,4,1,1,0.2,0.1818,0.27,0.2836,48
1570,10-03-2011,1,0,3,20,0,4,1,3,0.36,0.3333,0,0.3284,38
13514,22-07-2012,3,1,7,6,0,0,0,2,0.62,0.5758,0.83,0.0896,19
631,29-01-2011,1,0,1,13,0,6,0,2,0.22,0.2273,0.55,0.1642,65
15153,28-09-2012,4,1,9,13,0,5,1,2,0.7,0.6515,0.51,0.2537,410
1564,10-03-2011,1,0,3,14,0,4,1,3,0.44,0.4394,0,0.2985,12
6307,25-09-2011,4,0,9,8,0,0,0,2,0.62,0.5606,0.88,0,86
3824,13-06-2011,2,0,6,5,0,1,1,1,0.54,0.5152,0.64,0.3881,29
10189,05-03-2012,1,1,3,14,0,1,1,2,0.28,0.2576,0.57,0.3582,128
6590,07-10-2011,4,0,10,3,0,5,1,1,0.4,0.4091,0.87,0,10
15916,31-10-2012,4,1,10,20,0,3,1,2,0.4,0.4091,0.5,0.194,268
3635,05-06-2011,2,0,6,8,0,0,0,2,0.6,0.5909,0.73,0.2537,98
3701,08-06-2011,2,0,6,2,0,3,1,1,0.64,0.5758,0.89,0.0896,7
6572,06-10-2011,4,0,10,9,0,4,1,1,0.46,0.4545,0.63,0.194,208
5205,09-08-2011,3,0,8,18,0,2,1,1,0.8,0.7576,0.55,0.194,585
11537,30-04-2012,2,1,4,21,0,1,1,2,0.52,0.5,0.59,0.194,221
5947,10-09-2011,3,0,9,7,0,6,0,1,0.6,0.5455,0.88,0.1343,52
7717,23-11-2011,4,0,11,3,0,3,1,3,0.5,0.4848,0.94,0.3582,3
13764,01-08-2012,3,1,8,16,0,3,1,1,0.8,0.7576,0.55,0.2836,479
16668,02-12-2012,4,1,12,6,0,0,0,2,0.24,0.2424,0.93,0.1343,16
10239,07-03-2012,1,1,3,16,0,3,1,1,0.56,0.5303,0.37,0.4179,288
6656,09-10-2011,4,0,10,21,0,0,0,1,0.54,0.5152,0.83,0.1045,173
8148,11-12-2011,4,0,12,3,0,0,0,1,0.16,0.1818,0.59,0.1343,19
16622,30-11-2012,4,1,11,8,0,5,1,2,0.22,0.2576,0.8,0.0896,729
17205,24-12-2012,1,1,12,16,0,1,1,3,0.24,0.2273,0.87,0.2239,33
11396,25-04-2012,2,1,4,0,0,3,1,1,0.44,0.4394,0.38,0,36
3163,16-05-2011,2,0,5,16,0,1,1,3,0.6,0.5758,0.78,0.2537,226
9978,25-02-2012,1,1,2,18,0,6,0,1,0.3,0.2576,0.28,0.5821,133
8911,12-01-2012,1,1,1,3,0,4,1,3,0.36,0.3485,0.93,0.2537,3
8308,17-12-2011,4,0,12,19,0,6,0,3,0.24,0.2121,0.65,0.3284,106
737,03-02-2011,1,0,2,1,0,4,1,1,0.2,0.1515,0.44,0.5224,5
5202,09-08-2011,3,0,8,15,0,2,1,1,0.86,0.7727,0.39,0.2836,164
17161,22-12-2012,1,1,12,19,0,6,0,1,0.24,0.2121,0.48,0.3582,60
1853,22-03-2011,2,0,3,22,0,2,1,2,0.4,0.4091,0.58,0.2537,70
16493,24-11-2012,4,1,11,22,0,6,0,1,0.24,0.2273,0.44,0.2537,76
4130,25-06-2011,3,0,6,23,0,6,0,2,0.66,0.6212,0.5,0.2985,179
10129,03-03-2012,1,1,3,2,0,6,0,3,0.36,0.3636,0.93,0.0896,38
