id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
39445095,Unique rooms nearby the city center,86548605,Chantal,,Noord-West,52.405609999999996,4.896719999999999,Private room,2,3,13-02-2020,0.69,4,203,120
15276505,The perfect place to stay in de Pijp!,91951982,Lizet,,De Pijp - Rivierenbuurt,52.35435,4.89861,Entire home/apt,5,4,20-10-2019,0.09,1,0,46
18371484,"Stunning rooftop w/ 360 view, 2 bedroom apartment",29114513,Diogo,,Centrum-West,52.37246,4.87579,Entire home/apt,3,32,19-10-2019,0.84,1,107,420
18584642,Amsterdam,129037804,Jolanda,,De Aker - Nieuw Sloten,52.343990000000005,4.78908,Entire home/apt,4,0,,,1,0,250
28517324,Modern private apartment,31533672,Renee,,Bos en Lommer,52.37576,4.83841,Entire home/apt,2,15,15-03-2020,0.76,1,0,100
41515131,Super Unique Stay At Authentic Ship Amsterdam,140199696,Douwe,,Oostelijk Havengebied - Indische Buurt,52.37675,4.94065,Private room,2,0,,,2,70,72
1896850,Lovely apt in the 'Kinkerbuurt' near the City,8338825,Anneloes,,De Baarsjes - Oud-West,52.36499,4.86236,Entire home/apt,2,10,20-06-2018,0.13,2,0,112
870150,Cosy & clean room near Vondelpark (incl. Bicycle!),4585541,Marcella,,De Baarsjes - Oud-West,52.36168,4.8548800000000005,Private room,1,233,08-03-2020,2.64,1,364,47
9586821,"Spectacular loft: spacious, bright, city centre",4017740,Nina,,De Pijp - Rivierenbuurt,52.35765,4.88984,Entire home/apt,3,3,02-11-2019,0.31,1,98,190
12088607,Great apartment in Amsterdam Oost!,12578732,Tamara,,Oostelijk Havengebied - Indische Buurt,52.360690000000005,4.93613,Entire home/apt,3,4,29-04-2018,0.09,2,0,220
954633,Private studio 25m2 for two near A'dam Arena,5183517,Simonehenken,,Bijlmer-Centrum,52.32115,4.95553,Private room,2,96,30-04-2020,1.29,2,344,79
29919168,Wonderful place just outside the busy city centre,87974972,Fleur,,Watergraafsmeer,52.352779999999996,4.93774,Private room,2,45,13-03-2020,2.58,3,263,135
13689873,Cosy room with lovely garden in the Rivierenbuurt,79773652,Laura,,De Pijp - Rivierenbuurt,52.34629,4.9068,Private room,1,2,20-07-2016,0.04,2,0,30
18353166,Rnovtd Stylsh Apt @heart of the BESTEST area: Pijp,28792232,Niloufar,,De Pijp - Rivierenbuurt,52.35456,4.89179,Entire home/apt,1,18,29-09-2019,0.47,1,0,159
55807,"Greatly located, cozy atmosphere",263844,Rai & Clo,,De Baarsjes - Oud-West,52.369659999999996,4.86203,Private room,2,157,15-01-2020,1.35,1,0,60
28608796,Nice light two room appartement with parkview!,90258374,Edgar,,Slotervaart,52.3676,4.844530000000001,Entire home/apt,5,1,11-10-2018,0.05,1,0,104
38538410,Gorgeous private room with private bathroom,272936189,Laura,,Bos en Lommer,52.375009999999996,4.86112,Private room,1,0,,,1,0,90
27914750,Amsterdam,210868597,Morillio,,Osdorp,52.35241,4.80938,Entire home/apt,2,0,,,1,180,150
2037191,"Amsterdam cosy 3 bedrooms  apartment,30+",10358428,Ridi,,Slotervaart,52.36325,4.83588,Entire home/apt,2,61,23-02-2020,0.81,1,365,160
6844655,Monumental and cosy design appt!,4022291,Sophie,,Centrum-West,52.37304,4.87638,Entire home/apt,2,49,01-09-2019,0.82,1,0,165
8976034,300sqm Family Home/Garden Central,6915637,Stephen,,De Pijp - Rivierenbuurt,52.35783,4.9019699999999995,Entire home/apt,2,3,02-01-2017,0.06,1,0,200
7899571,Classic room in Centre Amsterdam!,41642643,Chris,,Centrum-West,52.370290000000004,4.89792,Private room,1,323,24-02-2020,5.52,3,0,75
21090327,"Light, bright appartment for two in lovely west!",20325436,Jelle & Lonneke,,De Baarsjes - Oud-West,52.365190000000005,4.858619999999999,Entire home/apt,4,15,12-11-2019,0.46,1,0,110
37507709,Spacious appartment in popular east,3592,Rhijja,,Oostelijk Havengebied - Indische Buurt,52.36006,4.94039,Entire home/apt,2,1,19-09-2019,0.11,1,0,150
14495568,4P Apartment | Popular Pijp Area,33424436,Paul,,De Pijp - Rivierenbuurt,52.35602,4.88921,Entire home/apt,2,23,02-01-2020,0.51,1,6,175
22524410,"Home w/garden & fireplace, contactless check in",4115668,Sharine,,Watergraafsmeer,52.35198,4.93675,Entire home/apt,2,26,17-02-2020,0.92,1,5,75
21091007,Amazing private apartment in trendy Amsterdam,35934107,Coco Milou,,Westerpark,52.38941,4.88099,Entire home/apt,3,6,20-02-2020,0.74,1,89,125
8718157,Spacious private room in De Pijp,12221010,Natasha,,De Pijp - Rivierenbuurt,52.35484,4.88778,Private room,1,0,,,1,0,115
20113545,Canal Dream Apartment,141658613,Rene,,Centrum-Oost,52.3629,4.895169999999999,Entire home/apt,1,122,03-05-2020,3.65,1,176,600
5656694,Family house large rooftop terrace,22811524,Margot,,Watergraafsmeer,52.35083,4.93558,Entire home/apt,4,7,17-08-2016,0.11,1,172,195
19943287,Light design apartment,10905798,Marèn,,Slotervaart,52.35409,4.83288,Entire home/apt,4,18,23-10-2019,0.51,2,0,70
24217698,Luxury Leidseplein with Private Patio,53439431,Marc,,Centrum-West,52.36646,4.8787,Private room,2,97,10-03-2020,3.69,1,215,240
19955084,Great apartment with balcony nearby centre & park,141459801,Michiel,,Oud-Oost,52.356590000000004,4.9214,Entire home/apt,2,0,,,1,0,150
21863894,Great apartment to celebrate your Christmas,159482593,Laurens,,De Baarsjes - Oud-West,52.36735,4.85936,Entire home/apt,3,1,29-12-2017,0.03,1,0,100
15908397,Beautiful & Spacious Maisonette Apartment,22037028,Barbara,,Oostelijk Havengebied - Indische Buurt,52.36544,4.93346,Private room,2,10,14-04-2019,0.44,1,0,89
6012665,Lovely private room,23928874,Lieke,,De Pijp - Rivierenbuurt,52.34663,4.9044300000000005,Entire home/apt,2,187,13-03-2020,3.01,1,147,115
5911915,Light design apartment in hip area,11620521,Claudia,,De Baarsjes - Oud-West,52.37097,4.84755,Entire home/apt,3,23,26-11-2018,0.38,1,0,98
16183056,Spacious new designed apartment with balcony,19787071,Niekie,,De Baarsjes - Oud-West,52.36258,4.8568,Entire home/apt,1,3,19-07-2017,0.07,1,0,125
42470025,Great Room in best part of Amsterdam,9435259,Thierry,,Zuid,52.3435,4.86207,Private room,2,0,,,9,157,75
15462945,Cosy apartment ready for next visitors! :),13627962,Selen,,Geuzenveld - Slotermeer,52.37639,4.811780000000001,Private room,2,20,18-06-2019,0.45,1,1,80
21345715,Cozy Home in centre Amsterdam,14441385,Kurtly,,Slotervaart,52.36637,4.84239,Entire home/apt,2,24,16-02-2020,0.75,1,0,200
42550498,LEIDSE SQUARE-A SPOTLESS 2BEDROOM HOME IN THE CITY,2856748,Ruchi,,Centrum-Oost,52.36352,4.883430000000001,Entire home/apt,7,0,,,28,365,400
15628281,Bright characteristic Amsterdam-North / IJzijde,100749906,Rose & Mike,,Oud-Noord,52.38657,4.92079,Entire home/apt,4,5,18-08-2017,0.12,1,0,100
14310818,Much more than a single room,24705826,Jean,,Centrum-Oost,52.3679,4.91734,Private room,3,4,21-10-2019,0.09,1,364,195
20097693,Private apartment next to business district/Zuidas,49357834,Renee,,Buitenveldert - Zuidas,52.33453,4.87044,Entire home/apt,2,39,20-10-2019,1.12,1,0,190
40424569,Modern & luxurious 2 bedroom apt. CITY CENTER,45979385,George,,De Baarsjes - Oud-West,52.36227,4.8807599999999995,Entire home/apt,3,2,19-01-2020,0.37,1,69,750
798941,Luxurious apartment 72m2 in Pijp ,4207199,Mark,,De Pijp - Rivierenbuurt,52.35447,4.9023699999999995,Entire home/apt,1,1,08-01-2013,0.01,1,0,110
8789423,Cozy and clean design apartment Amsterdam center,46064520,George,,De Baarsjes - Oud-West,52.36773,4.8729,Shared room,2,42,20-11-2019,0.74,3,342,56
4934237,Living in Amsterdam (Private Room - CS area),25422214,John,,Oud-Noord,52.38223,4.91253,Private room,1,358,25-05-2020,5.55,3,108,99
16467329,"Charming apartment with balcony, Vondelpark-area",10220134,Mette,,Zuid,52.35112,4.8552,Entire home/apt,2,3,08-01-2017,0.07,1,0,90
19047202,Spacious and light two-story 2-bedroom appartment,132942213,Nèwel,,De Baarsjes - Oud-West,52.36218,4.86104,Private room,2,3,30-09-2017,0.08,1,0,195
23011312,Nice room in a lovely wooden house,170713953,Alberto,,Noord-West,52.42023,4.89591,Private room,7,0,,,1,0,60
171054,Spacious apartment next to center,815989,Kamiel,,De Baarsjes - Oud-West,52.36916,4.86643,Entire home/apt,3,103,28-11-2018,0.95,1,0,120
26657221,Family house at Canal in Amsterdam 15min to CS,200382142,Mariska,,IJburg - Zeeburgereiland,52.35083,4.9985800000000005,Entire home/apt,2,0,,,1,0,185
30554026,Rooftop Studio close to Oosterpark (2pax),229196646,Short Stay Group,,Oud-Oost,52.35996,4.92604,Hotel room,1,42,02-03-2020,2.48,5,343,132
35324436,"Comfy room in spacious apartment, great location!",78047824,Reinoud,,Oud-Oost,52.35115,4.91533,Private room,2,8,23-02-2020,0.67,1,7,90
6918107,Nice appartement/house in great quiet/unique area,15093411,Jan,,Watergraafsmeer,52.35306,4.93576,Entire home/apt,1,3,27-07-2018,0.06,1,0,150
16130364,Yes! A Great Room in Amsterdam,15530883,★Guilherme★,,Zuid,52.347570000000005,4.84742,Private room,1,55,19-03-2020,2.42,3,332,75
7559592,Apartment near centre of Amsterdam,39625751,Lin,,De Pijp - Rivierenbuurt,52.34877,4.90764,Entire home/apt,1,0,,,1,0,70
17487828,Family apartment @ great location close to Jordaan,10069952,Celine,,Westerpark,52.37981,4.8783900000000004,Entire home/apt,3,2,22-10-2018,0.05,1,0,200
9269326,Relax in Quiet Comfy Style,48146191,Francine,,Noord-West,52.42052,4.89127,Private room,2,21,07-04-2017,0.38,1,0,55
37670034,2 bedroom apartment with balcony in de Pijp area,284672483,Faye En Leon,,De Pijp - Rivierenbuurt,52.352470000000004,4.88857,Entire home/apt,1,5,28-10-2019,0.57,1,0,125
36971428,LOVELY & COMFORTABLE CANAL APARTMENT NEAR MUSEA,2498889,Fahd,,De Baarsjes - Oud-West,52.36585,4.85816,Entire home/apt,3,7,14-03-2020,0.73,1,0,150
16038811,Modern Apartment in the Hipster West area,33636511,Ilija,,De Baarsjes - Oud-West,52.36529,4.865530000000001,Entire home/apt,2,31,30-09-2018,0.74,2,0,200
42174617,Stunning modern family apartment with rooftop,334744886,Roderick,,Zuid,52.35004,4.8476099999999995,Entire home/apt,2,0,,,1,0,400
6743004,"Light, spacious apartment in A'dam.",35307425,Giselle,,Westerpark,52.392179999999996,4.87268,Entire home/apt,5,8,26-08-2017,0.13,1,50,135
15416894,Spacious and light appartment in Amsterdam East,6636577,Norma,,Oud-Oost,52.36067,4.92931,Entire home/apt,3,5,16-04-2017,0.11,1,0,65
18206761,Cozy romantic apartment Amsterdam-West,13437870,Lis,,Bos en Lommer,52.37798,4.85562,Entire home/apt,1,48,14-10-2018,1.25,1,0,135
40307715,Lux ground floor-Vondelpark-For Families,1794617,Manu,,Zuid,52.3507,4.84978,Entire home/apt,2,1,20-12-2019,0.17,1,16,300
19845574,Perfect Pride Apartment in the Pijp,13067458,Cassandra,,De Pijp - Rivierenbuurt,52.352920000000005,4.89147,Entire home/apt,1,0,,,1,0,125
11267148,Spacious and unique apartment 85m2 with garden,8791692,Gijs En Danielle,,Westerpark,52.373290000000004,4.87359,Entire home/apt,2,26,02-01-2020,0.5,1,12,110
6609337,app. tijdelijk te huur aangeb,34583406,Guus,,Zuid,52.35188,4.84596,Entire home/apt,8,0,,,1,0,100
31551118,"Beautiful, bright, newly renovated apartment",236480840,Sharry,,Oud-Oost,52.35816,4.9224,Entire home/apt,3,5,31-12-2019,0.33,1,0,150
22526540,Comfy appartment and terrace near centre Amsterdam,36864230,Grissell,,Oud-Oost,52.36356,4.93066,Entire home/apt,4,6,02-01-2020,0.21,1,86,101
36828567,"Petit, goodlooking apartment in Amsterdam center",126569569,Jaber,,Watergraafsmeer,52.348079999999996,4.91979,Entire home/apt,1,2,20-10-2019,0.19,1,0,150
2450025,Lovely houseboat and two cats are waiting for you!,5222532,Renée,,Noord-West,52.41045,4.90144,Entire home/apt,3,7,02-07-2018,0.15,1,0,60
1486461,classic canal apt in city centre,7830981,Bas,,Centrum-West,52.378370000000004,4.8946,Entire home/apt,2,61,14-09-2019,0.74,1,340,225
37487551,"Full apartment Amsterdam West, 5min from Jordaan",2968125,Maaike,,Bos en Lommer,52.37659,4.8560300000000005,Entire home/apt,2,2,21-10-2019,0.24,1,0,140
22102814,Cozy ground floor apartment in Amsterdam Zuid,42405683,Kirsten,,Buitenveldert - Zuidas,52.32602,4.87835,Entire home/apt,6,2,27-01-2018,0.07,1,0,65
21354766,Comfortable apartment near Vondelpark,63851883,Marleen,,Zuid,52.35352,4.85459,Entire home/apt,5,6,09-04-2019,0.19,1,0,90
42208942,Private Amsterdam studio near Amstel/Rai/centre,6208940,Esmee & Jason,,De Pijp - Rivierenbuurt,52.34214,4.90653,Private room,1,2,08-03-2020,0.57,1,0,80
15927947,Beautiful light and spacious apartment in Jordaan,88437019,Dominique,,Centrum-West,52.373940000000005,4.87948,Entire home/apt,2,14,10-06-2019,0.36,1,4,180
39252236,** Great atmospheric apartment in Amsterdam**,42693468,Manon,,IJburg - Zeeburgereiland,52.36368,4.98741,Entire home/apt,2,4,25-11-2019,0.53,1,0,150
19726564,Stylish and well equipped apartment in great area,54051951,Felix,,De Baarsjes - Oud-West,52.36703,4.8613599999999995,Entire home/apt,2,2,10-12-2017,0.07,2,0,189
896368,Comfortabel 2p. appt. in de Pijp,4779243,Roy,,De Pijp - Rivierenbuurt,52.35301,4.896,Entire home/apt,2,12,28-05-2017,0.14,1,0,150
31701569,Great new B&B at a city port,141349719,Mascha En Vincent,,Watergraafsmeer,52.33952,4.91973,Private room,2,51,08-03-2020,3.28,1,142,200
15668614,Welcome Home!,37920935,Mustafa,,Osdorp,52.35756,4.78838,Entire home/apt,2,26,15-02-2020,0.6,1,0,75
17824583,Spacious apartment in Amsterdam,3707028,Lishia,,De Baarsjes - Oud-West,52.36813,4.8558,Entire home/apt,2,1,17-04-2017,0.03,2,0,200
36752817,Beautiful and Spacious Flat in the Museumkwartier,86125177,Michelle,,Zuid,52.35622,4.87448,Entire home/apt,7,1,24-01-2020,0.22,1,9,145
42706465,Fresh Jordaan studio on Prinsengracht,404143,Sjors,,Centrum-West,52.37451,4.88404,Private room,2,0,,,1,90,125
2334466,Nice and Cosy 4 room apartment,7594884,"Ruben, Sarah & Lindy",,Slotervaart,52.37053,4.84136,Entire home/apt,3,63,20-04-2017,0.83,38,83,97
2945732,Cosy apartement; roof terrace & luxury bathroom,15038857,Jakob,,Zuid,52.35033,4.84606,Entire home/apt,4,3,17-06-2014,0.04,1,0,95
32624973,Double Private Room En-Suite,245267147,ClinkNOORD,,Oud-Noord,52.384440000000005,4.90335,Hotel room,1,24,12-03-2020,1.86,12,362,300
23333275,quiet appartment in cosy Jordaan district.,173787530,Astrid,,Centrum-West,52.37773,4.88221,Entire home/apt,2,32,07-03-2020,1.16,1,0,180
2825996,Lovely bright family apartment,14458188,Niki,,Centrum-Oost,52.37146,4.9043,Entire home/apt,5,13,05-05-2019,0.18,1,10,285
35570381,Jordaan apartment,267629155,Manuel,,Centrum-West,52.37893,4.88641,Entire home/apt,2,10,15-03-2020,0.85,1,37,170
22837625,Jordaan - Prinsengracht,168845393,Alex,,Centrum-West,52.37207,4.8816,Entire home/apt,2,0,,,1,0,100
42614592,Large Urban Family House with free Parking!,339473121,Rene,,IJburg - Zeeburgereiland,52.35018,5.00105,Entire home/apt,3,0,,,1,0,130
13256611,Spectacular lake view house in Amsterdam,52280406,Ingrid,,IJburg - Zeeburgereiland,52.35824,4.98013,Entire home/apt,2,5,29-10-2017,0.1,1,0,199
9903960,Classy Room 17th Century Canal House,7176784,Evert,,Centrum-West,52.37811,4.89246,Private room,1,336,08-06-2020,6.21,2,102,139
31050856,Private apartm/canal view/near Jordaan-city center,37806139,Joost,,Westerpark,52.38343,4.87715,Entire home/apt,5,5,11-08-2019,0.32,1,27,145
15421742,Spacious and Cosy Amsterdam West 1-2 bedrooms 50m2,98833917,Jerome,,Bos en Lommer,52.37975,4.84751,Private room,2,5,30-04-2017,0.11,2,0,80
18966172,Charming appartement in Amsterdam South,13066621,Tessa,,Zuid,52.3488,4.8589199999999995,Entire home/apt,3,7,14-02-2020,0.2,1,0,150
37593831,Luxurious Waterfront top Floor appartement,283922472,Mbm,,IJburg - Zeeburgereiland,52.362559999999995,4.98754,Entire home/apt,2,7,16-02-2020,0.77,1,167,97
12587016,you own a tower.,40587018,Xin,,Centrum-West,52.36858,4.89313,Entire home/apt,1,0,,,1,0,105
1195666,Lovely family home in Central Amsterdam,6534317,Willemijne,,Centrum-West,52.36679,4.87975,Entire home/apt,2,34,09-03-2020,0.4,1,230,263
40154301,Artistic family place near Museumplein and centre,17206361,Milena,,Zuid,52.34324,4.86054,Entire home/apt,5,0,,,3,69,170
9345262,Modern cozy houseboat Amstel river,34635248,Nicole,,Watergraafsmeer,52.34845,4.9139800000000005,Entire home/apt,2,56,11-05-2019,1.04,1,0,200
20071835,Lovely spacious apartment in Amsterdam - city view,22607561,Daphne,,Oud-Oost,52.36289,4.93095,Entire home/apt,2,7,16-02-2020,0.48,1,0,110
11115501,Warm and cosy family house,57746069,Nathalie,,Watergraafsmeer,52.35544,4.9402,Entire home/apt,1,12,23-12-2018,0.23,1,0,135
19303955,Perfect family home (with cat !) near centre,27994987,Johan,,Oud-Oost,52.35133,4.915,Entire home/apt,3,10,03-08-2019,0.29,1,0,200
18308929,Cosy Apt Near Albert Cuijp/de Pijp,7550133,Paula,,De Pijp - Rivierenbuurt,52.35304,4.90195,Entire home/apt,1,10,12-08-2018,0.26,1,0,100
20546950,Cosy Room in Amazing Apartment in City Centre,34785772,Patrick,,Westerpark,52.374320000000004,4.8741699999999994,Private room,2,6,14-09-2017,0.18,4,0,90
25529159,Vondel Suite,21375717,Eva,,De Baarsjes - Oud-West,52.36053,4.86916,Private room,2,24,17-10-2019,1.0,1,358,140
9985691,Prince Charming - Heart of Amsterdam,51307295,Ellen,,Centrum-West,52.37907,4.88797,Private room,3,89,08-03-2020,1.64,1,135,82
11003337,Light spacious apartment,29098246,Nannie,,Oud-Oost,52.36347,4.92619,Entire home/apt,2,5,28-05-2017,0.1,1,0,100
37004773,Light and cosy apartment in Oost,11320535,Guido,,Oud-Oost,52.35783,4.91981,Entire home/apt,4,5,30-11-2019,0.56,1,0,139
19781179,2nd bedroom in lovely apartment Amsterdam,15193430,Annemieke,,Oud-Oost,52.3589,4.91625,Entire home/apt,2,3,07-08-2017,0.08,1,0,83
13895761,Family Appartment with large garden,5861464,Barbara,,De Pijp - Rivierenbuurt,52.34418,4.90019,Entire home/apt,4,16,19-08-2019,0.34,1,129,247
4337733,"Beautiful apt, 5 minutes to center",5287167,Lee,,Oud-Oost,52.36329,4.92801,Entire home/apt,4,5,02-05-2016,0.07,1,0,130
11846023,17th Century Flowermarket Apartment,9462022,Saskia,,Centrum-West,52.36655,4.89039,Entire home/apt,3,67,19-01-2020,1.31,3,358,219
23942352,CANAL APARTMENT AMSTERDAM CENTER/PIJP,31238002,Paul,,Centrum-Oost,52.35909,4.8948,Entire home/apt,2,10,07-06-2019,0.41,1,90,330
4806346,Family house Amsterdam at Children playground,17898488,Johan,,Bos en Lommer,52.37415,4.83742,Entire home/apt,3,27,09-09-2019,0.43,1,15,235
42860447,Lovely place near city center,341292633,Jurmain,,De Pijp - Rivierenbuurt,52.34962,4.90019,Entire home/apt,2,0,,,1,89,203
25768195,"Whole apartment, ground floor. Suit mature family.",22801919,Gabrielle,,Oud-Oost,52.35503,4.916930000000001,Entire home/apt,3,4,23-12-2019,0.17,3,0,190
16000278,Stylish Family Apartment,6660212,Lisa,,Oostelijk Havengebied - Indische Buurt,52.3767,4.94736,Entire home/apt,3,7,21-10-2018,0.16,1,0,150
41920050,Vondelpark apartment,77910536,Fleur,,De Baarsjes - Oud-West,52.358999999999995,4.86034,Entire home/apt,3,2,14-03-2020,0.55,2,7,130
7552165,Beautifull 2 bedroom apartment,34942260,Marengo,,De Pijp - Rivierenbuurt,52.3526,4.90485,Entire home/apt,3,60,01-09-2019,1.02,1,1,220
20838843,Stylish and cozy double room  in trendy flat.,20155665,Janno,,Oud-Noord,52.38827,4.91512,Private room,2,7,06-05-2018,0.21,1,0,90
22539692,Bright- spacious roof top flat in trendy Old West,96258674,Josephin,,De Baarsjes - Oud-West,52.37038,4.87122,Entire home/apt,2,24,13-10-2019,0.83,1,0,155
7780839,Spacious and comfortable apartment,40938927,Angela,,De Pijp - Rivierenbuurt,52.34703,4.90538,Entire home/apt,50,12,12-05-2019,0.21,1,0,110
18405942,Warm and spacious loft apartment!,1464510,Wendy And Bram,,De Pijp - Rivierenbuurt,52.35334,4.8890400000000005,Entire home/apt,2,11,07-09-2019,0.29,78,0,216
1174506,Cosy stylish apartment in De Pijp,6428213,Roel,,De Pijp - Rivierenbuurt,52.35088,4.8995,Entire home/apt,4,50,02-11-2019,0.6,1,0,120
43272529,Room available from Mei the 1 th,344536790,Monica,,Slotervaart,52.34961,4.84162,Private room,60,0,,,3,179,750
41641711,Sunny Houseboat!,328503470,Okkie,,Westerpark,52.38901,4.8876,Entire home/apt,2,0,,,1,55,250
5432591,Private (!) waterside apartment & free parking,12607303,"Roland, Monique, Fela, Flint",,Oostelijk Havengebied - Indische Buurt,52.37689,4.92952,Private room,2,191,08-03-2020,3.01,1,157,100
8490817,Sleeping on a houseboat,44718293,Ingrid,,Centrum-West,52.376059999999995,4.89351,Private room,2,69,20-10-2019,1.2,1,72,134
40077957,Beautiful City Center Apartment2,61088514,Jacob,,Centrum-West,52.37644,4.8925,Entire home/apt,1,14,26-02-2020,2.04,2,0,300
41401411,private room near center,146766943,Rony,,Westerpark,52.377159999999996,4.87564,Private room,1,1,26-01-2020,0.22,6,21,80
5547017,"Best view, apt. Red Light District",215655,Chad,,Centrum-West,52.37361,4.898569999999999,Entire home/apt,2,95,02-01-2020,1.53,1,335,210
22624709,Quiet private room in Central Amsterdam,166174720,Piet,,Centrum-Oost,52.36781,4.91172,Private room,1,43,09-02-2020,1.47,1,0,90
36546985,Bohemian town house in Museum Quarter Amsterdam,274743403,Sara,,Zuid,52.35524,4.8827,Entire home/apt,2,3,21-08-2019,0.3,1,0,295
14003104,"Beautiful apt with terrace | Amstel, Center, Pijp",4251778,Joost,,Oud-Oost,52.35371,4.9124099999999995,Entire home/apt,2,6,12-07-2017,0.16,1,0,80
28048334,Nice room close to park and center,141883272,Lupe,,De Baarsjes - Oud-West,52.36376,4.852119999999999,Private room,3,3,25-08-2019,0.15,3,0,100
24930287,Looking for a great place to stay in Amsterdam?,15530883,★Guilherme★,,Zuid,52.351440000000004,4.85015,Private room,1,126,09-03-2020,4.96,3,182,85
1297017,Peaceful and green in the city,7051715,Anouk,,Watergraafsmeer,52.34228,4.92352,Entire home/apt,2,20,01-07-2017,0.24,1,0,170
38694596,Private Comfort & luxury bedroom near Metro/Train,154433811,Holly,,Slotervaart,52.36657,4.84037,Private room,1,43,06-03-2020,4.92,4,0,55
4872764,Spacious appartment with garden,4710619,Gijs,,De Baarsjes - Oud-West,52.368140000000004,4.851369999999999,Entire home/apt,3,23,24-04-2019,0.35,1,313,125
33312384,Houseboat Experience in the Canals of Amsterdam,27806456,Jaime,,Centrum-Oost,52.36373,4.91121,Entire home/apt,2,5,19-01-2020,0.35,1,0,200
7201865,Modern apartment in Oud-West,2638352,Linda,,De Baarsjes - Oud-West,52.364779999999996,4.86192,Entire home/apt,5,35,10-11-2019,0.62,1,8,105
8769385,Cozy Apartment for a relaxing stay,14331244,Diana,,Westerpark,52.38078,4.86868,Entire home/apt,1,8,15-10-2017,0.15,1,0,100
18746775,Very Spacious & Luxurious Canalhouse Villa,119159862,Casper & Simone,,Centrum-West,52.36837,4.88167,Entire home/apt,2,8,19-05-2019,0.29,1,177,896
3754415,Large Self-Cateringapt -Adam Centre,14370039,Janey,,Bos en Lommer,52.37662,4.85942,Entire home/apt,2,44,02-01-2017,0.62,1,0,70
13973496,"Modern, comfy and sunny apartment nearby Jordaan",5998366,Vincent,,Bos en Lommer,52.37607,4.85874,Entire home/apt,2,14,08-06-2019,0.3,1,0,90
34749290,The happiness room,150083955,Marine,,Zuid,52.3475,4.87845,Private room,2,3,05-10-2019,0.24,1,160,85
32977084,"Charming and cozy home in ""Oud Zuid""",128265422,Michel,,Zuid,52.355259999999994,4.869269999999999,Entire home/apt,2,15,15-02-2020,1.07,1,0,200
