id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17246951,18th century house with AMAZING canal view,24075965,Leonie,,Centrum-West,52.37017,4.89429,Entire home/apt,1,28,14-07-2019,0.71,1,20
12977264,Brand New Modern Apartment - Center,68808926,Cecilia,,Centrum-West,52.3753,4.89708,Entire home/apt,2,0,,,1,0
8246207,Private Floor in Urban Town House,43486339,Loes,,De Pijp - Rivierenbuurt,52.35752,4.90077,Private room,1,170,09-03-2020,2.94,1,358
24923528,Modern 2BDR apartment with Roof Terrace @PIJP,188442781,Jonathan,,De Pijp - Rivierenbuurt,52.354490000000006,4.90285,Entire home/apt,2,7,05-09-2019,0.31,1,0
38903493,New and modern apartment near the Vondelpark,179227487,Annemarie,,Zuid,52.35001,4.8547199999999995,Entire home/apt,1,3,15-03-2020,0.76,1,170
28195199,Beautiful room in Amsterdam Oud-West,7306330,Valentina,,De Baarsjes - Oud-West,52.36634,4.8646199999999995,Private room,3,3,11-11-2018,0.14,1,0
21089629,Cozy an Comfortable Home Next to City Center,49087186,Kyon,,De Baarsjes - Oud-West,52.37192,4.86375,Entire home/apt,2,2,15-10-2017,0.06,1,0
39737442,Cozy apartment city centre Amsterdam,3673633,Merel,,Centrum-West,52.36988,4.88302,Entire home/apt,14,0,,,2,88
8693789,New Design Apartment City Center!,19588958,Mart,,Centrum-Oost,52.36466,4.88319,Private room,3,69,23-07-2019,1.24,1,0
7720600,"Lush green, light & quiet near CS.",17379847,Irene,,Oud-Noord,52.39362,4.91602,Entire home/apt,3,25,27-08-2017,0.43,1,0
24957355,"Stylish 1 BR apartment in the Jordaan, city centre",12022765,Inez,,Centrum-West,52.37903,4.8838,Entire home/apt,3,5,26-07-2019,0.2,1,0
18436756,"Big room with balcony, 15min to center",127796006,Kaspar,,Watergraafsmeer,52.34925,4.93748,Private room,1,5,14-05-2017,0.13,1,0
19468487,Spacious light and cosy apartment in Amsterdam,60097170,Martine,,Bos en Lommer,52.38037,4.85479,Entire home/apt,2,6,25-09-2017,0.17,1,0
22101591,Fantastic bright appartment in De Pijp!,38210908,Nienke,,De Pijp - Rivierenbuurt,52.358109999999996,4.894,Entire home/apt,2,1,02-04-2018,0.04,1,0
6778319,Quiet Home In The Heart Of The City,31275614,Sanja & Adrijan,,De Baarsjes - Oud-West,52.36385,4.87812,Entire home/apt,5,15,21-08-2019,0.25,1,0
24435237,Light apartment in the east side of Amsterdam,42013147,Eve,,Oud-Oost,52.36023,4.91354,Entire home/apt,3,8,09-03-2020,0.36,1,0
18975725,"A nice, cozy fully apartment, in a great location!",3032781,Francesco,,De Pijp - Rivierenbuurt,52.35726,4.8972,Entire home/apt,2,10,29-09-2019,0.47,2,0
13664635,Beautiful comfortable  apartment at the Oosterpak,10734975,Roel,,Oud-Oost,52.35951,4.91365,Entire home/apt,2,8,21-11-2016,0.17,1,0
19588679,Maisonette (3rd&4th floor) directly at Vondelpark,7244323,Arienne,,De Baarsjes - Oud-West,52.36493,4.87425,Entire home/apt,2,7,20-08-2018,0.2,1,0
32762878,Central Amsterdam Bedroom,246360166,Carol,,De Baarsjes - Oud-West,52.36518,4.87691,Private room,1,44,23-12-2019,2.87,1,345
12196335,"Light and spacious, close to center",1593542,Johanna,,Bos en Lommer,52.380559999999996,4.856669999999999,Entire home/apt,2,31,14-01-2020,0.61,1,0
13131962,Rustic apartment historic features,51663977,David,,Centrum-Oost,52.35995,4.8903,Entire home/apt,1,21,23-08-2016,0.43,1,0
36411869,Special place on an island near the Jordaan,6733676,Fanny,,Centrum-West,52.38407,4.88875,Entire home/apt,2,8,18-02-2020,0.75,1,0
23192789,Cozy apartment in the centre of Amsterdam,49829705,Boy,,Westerpark,52.3736,4.87058,Entire home/apt,3,18,26-07-2019,0.79,1,0
33679547,Room with nice atmosphere and own street entrance,7562375,Steffie,,Buitenveldert - Zuidas,52.32435,4.878419999999999,Private room,2,26,08-03-2020,1.86,1,179
27545924,Cosy apartment de Pijp/Rivierenbuurt,4876786,Lisa,,De Pijp - Rivierenbuurt,52.34878,4.90471,Entire home/apt,3,0,,,1,0
11713215,Spacios and cozy room in the center,36507423,Pedro,,Centrum-West,52.37513,4.8983099999999995,Private room,1,1,25-03-2016,0.02,2,0
26328037,Cosy 24 m2 Outskirt Room in Amsterdam Noord,128235685,Armin,,Noord-West,52.41356,4.9192599999999995,Private room,2,3,10-11-2019,0.3,1,0
33412489,Lovely cozy apartment for 2 close to city centre,107745142,Oscar,,Centrum-Oost,52.36973,4.9288300000000005,Entire home/apt,2,9,26-10-2019,0.67,4,9
35931371,Luxury Mansion in the City centre with canal view!,17561748,Ser And Victor,,Centrum-West,52.37549,4.88985,Entire home/apt,1,24,07-03-2020,2.05,1,57
15038670,Modern & fresh studio in trendy area,10079417,Ilana,,Oostelijk Havengebied - Indische Buurt,52.36287,4.93653,Private room,2,168,08-03-2020,3.74,1,0
489832,Authentic place to stay in great location.,2421854,Klaske,,De Baarsjes - Oud-West,52.363620000000004,4.86762,Private room,7,39,03-01-2020,0.43,1,150
19009709,Small cosy apartment (single bed + airbed),132622912,Senait,,Oud-Noord,52.39204,4.94332,Entire home/apt,2,1,28-10-2017,0.03,1,0
14366430,Modern 2 Person Studio in CITY CENTER (Stockholm),88119039,Dick,,Centrum-West,52.37792,4.88195,Entire home/apt,2,5,25-04-2019,0.11,4,0
37453441,Mystic_Boat,9991019,Jan,,De Baarsjes - Oud-West,52.37223,4.86598,Entire home/apt,2,10,06-02-2020,1.09,1,118
15204031,Unique and quirky Dutch canal house,15555213,Charlotte,,Centrum-West,52.37122,4.88342,Entire home/apt,3,22,27-06-2018,0.51,1,0
26831484,"Warm, spacious room with a view in Amsterdam-Noord",6009703,Floortje,,Oud-Noord,52.39052,4.90819,Private room,3,18,30-12-2019,0.86,2,127
1366513,Cozy apartment  near Vondelpark,6351011,Olga,,Zuid,52.34706,4.84692,Entire home/apt,3,14,23-10-2019,0.26,1,0
27711346,SWEETS hotel Nieuwe Amstelbrug,203731852,SWEETS Hotel,,De Pijp - Rivierenbuurt,52.35576,4.90549,Hotel room,2,17,28-02-2020,0.84,19,334
40592220,Spacious luxe & bright apartment D Pijp / Centre,24195803,Nick,,De Pijp - Rivierenbuurt,52.35418,4.89037,Entire home/apt,3,3,15-03-2020,0.78,1,5
118117,Lovely self contained studio in Oud West,596513,Nina & Benjamin,,De Baarsjes - Oud-West,52.36888,4.86955,Private room,3,545,17-03-2020,5.01,1,291
40646070,Canal view room with balcony in city center!,91816760,Tanvi,,Centrum-West,52.38091,4.88238,Private room,3,3,09-03-2020,0.55,2,0
21543730,Luxurious appartment in the Pijp,58199449,Bart,,De Pijp - Rivierenbuurt,52.34986,4.89371,Entire home/apt,3,0,,,1,0
42947192,The Weber Collection - Luxurieus Design Studio - 1,178187873,Marcel And Pauline,,Centrum-Oost,52.365629999999996,4.88173,Entire home/apt,1,3,23-05-2020,2.73,15,35
3497617,Lovely basics near Albert Cuyp ,17610480,Nathalie,,De Pijp - Rivierenbuurt,52.357409999999994,4.89781,Entire home/apt,3,21,21-01-2018,0.29,1,0
16093425,Modern canal apartment with rooftop!,13104598,Oonagh,,Centrum-West,52.367490000000004,4.88125,Entire home/apt,2,19,23-02-2020,0.45,1,0
30394318,1-Bedroom Apartment in Trendy NDSM District,228217790,Short Stay Group,,Oud-Noord,52.39589,4.90509,Hotel room,1,0,,,5,329
15081563,Comfortable and spacious apartment,179452,Cristina,,De Baarsjes - Oud-West,52.36591,4.85997,Entire home/apt,2,38,03-01-2020,0.91,1,0
13823153,"Spacious, bright 2 bed apartment 9 street location",21862302,Rob,,Centrum-West,52.37135,4.88131,Entire home/apt,10,1,15-09-2016,0.02,1,0
16972379,Atmospheric 75m2 canal-facing townhouse apartment!,8933465,Erik,,Centrum-West,52.37068,4.89339,Entire home/apt,5,2,27-02-2017,0.05,1,0
1852798,Nice apartment perfectly located,9674659,Margriet,,De Pijp - Rivierenbuurt,52.35281,4.88716,Entire home/apt,7,133,06-03-2020,1.7,1,1
8218517,Family time! By foot to city centre,11220388,Jochem&Phila,,Zuid,52.35344,4.88503,Entire home/apt,7,15,26-10-2018,0.28,1,302
22264063,80m2 appartement in the center of Amsterdam,162690724,Remco,,Centrum-West,52.37393,4.8782,Entire home/apt,3,15,04-01-2020,0.51,1,0
37226773,Amazing apartment in the heart of Amsterdam,12905991,Jody,,Centrum-West,52.37847,4.89583,Entire home/apt,1,3,21-08-2019,0.29,1,0
11143534,Charming apartment nearby Pijp/RAI,4179931,Vera,,De Pijp - Rivierenbuurt,52.34308,4.894909999999999,Entire home/apt,4,1,03-10-2016,0.02,1,0
17665299,Beautiful and bright apartment on a top location,95888701,Annika & Willem,,Oud-Oost,52.357079999999996,4.90679,Entire home/apt,2,45,03-02-2020,1.17,1,54
30030055,Cozy & Calm apartment in the trendy East Amsterdam,56046911,Georgia,,Oud-Oost,52.35819,4.92373,Entire home/apt,2,3,12-02-2020,0.33,2,180
39707771,Wonderful and luxurious apartment,68220587,Vivienne,,Oud-Oost,52.35075,4.91514,Entire home/apt,3,0,,,1,239
16674000,Luxurious apartment,110317721,Jesse,,Osdorp,52.36217,4.79553,Entire home/apt,2,4,04-08-2017,0.1,1,0
3823159,Spacious apartment near Dam Square,17241555,Vincent,,Centrum-West,52.37442,4.88649,Entire home/apt,2,13,20-08-2019,0.19,1,259
9723190,Apartment overseeing Rembrandtpark,50178204,Tessel,,De Baarsjes - Oud-West,52.36806,4.85008,Entire home/apt,1,0,,,2,0
16918636,Perfect place for couples in Amsterdam!,30842837,Alwine,,De Pijp - Rivierenbuurt,52.35536,4.88804,Entire home/apt,2,2,04-05-2017,0.05,1,0
1864232,Luxury | Spacious | No Stairs | Vondelpark,3178323,Jordan,,De Baarsjes - Oud-West,52.362140000000004,4.86872,Entire home/apt,4,7,22-02-2020,0.88,1,89
37344101,RoomWest Cosy with ensuite bathroom,281337057,RoomWest,,De Baarsjes - Oud-West,52.370490000000004,4.87329,Hotel room,2,28,08-03-2020,2.73,2,78
33733808,Double cabin on sailing ship 20 min to center No 9,22879651,Wamme,,IJburg - Zeeburgereiland,52.353120000000004,5.0064400000000004,Private room,2,4,03-01-2020,0.29,11,171
4064519,Ruim nieuwbouw appartement boven De Hallen,21080517,Anne-Marie,,De Baarsjes - Oud-West,52.36534,4.867780000000001,Entire home/apt,4,13,21-09-2019,0.23,1,0
14325757,Suite 2 Stay - studio White Zen - canal area,3788673,Laurens En Petra,,Centrum-Oost,52.35996,4.89582,Private room,3,148,11-03-2020,3.19,2,138
35212473,Charming family-home in authentic Amsterdam-North,14668214,Layla,,Noord-West,52.41171,4.88986,Entire home/apt,5,7,20-10-2019,0.58,1,46
33937030,Amsterdam 2 Bedroom Lux Houseboat,13764503,Predrag,,Centrum-Oost,52.37338,4.90653,Private room,1,3,02-01-2020,0.26,3,362
1346133,Fabulous new modern appartment,7302440,Ruud,,Westerpark,52.37738,4.8724300000000005,Entire home/apt,5,52,24-10-2019,0.63,1,1
28249498,Authentic luxurious house. Best possible location!,213368117,Daan,,Centrum-West,52.36742,4.89079,Entire home/apt,2,0,,,1,0
32946508,2p cosy appartment in A'dam West near Westerpark,21074433,M.F.A.,,Westerpark,52.383140000000004,4.87174,Entire home/apt,2,5,31-08-2019,0.41,1,0
9054138,Cozy apartment with roof terrace.,2566356,Jan-Willem,,Oud-Oost,52.35618,4.92468,Entire home/apt,3,7,16-02-2016,0.13,1,0
18982204,"Spacious, light loft in East, close to centre",8547664,Nicci,,Oud-Oost,52.35739,4.92376,Entire home/apt,3,6,07-01-2018,0.17,1,0
20530198,Luxury design apt in hip area Amsterdam Old-South,13550983,Melanie,,Zuid,52.34802,4.84771,Entire home/apt,2,45,20-10-2019,1.34,1,0
15911681,Lovely apartment in a quiet street in the center,8492548,Cor,,Centrum-Oost,52.37174,4.90881,Entire home/apt,5,20,03-08-2019,0.48,1,266
5875934,A simple room you can dream it!,15917368,Xinmo,,Bijlmer-Centrum,52.324740000000006,4.94681,Private room,1,40,12-08-2016,0.64,2,0
42601022,Bright & renovated modern styled appt in Jordaan!,4397795,Hidde,,Centrum-West,52.37964,4.88695,Entire home/apt,2,0,,,2,0
24665438,Hip apartment @ booming De Pijp in Amsterdam!,22493588,Oriane,,De Pijp - Rivierenbuurt,52.34848,4.89594,Entire home/apt,3,7,05-02-2020,0.3,1,0
18498898,Spacious appartement with sunny garden!,2869415,Floortje,,Bos en Lommer,52.38123,4.852069999999999,Entire home/apt,3,17,25-08-2019,0.51,2,0
41868328,3-bedroom Family Apartment in trendy A'dam West!,6099415,Jeroen,,De Baarsjes - Oud-West,52.3666,4.859780000000001,Entire home/apt,1,0,,,1,0
19535996,Apartment  Amsterdam city centre,36888872,Rick,,Centrum-Oost,52.367309999999996,4.91879,Entire home/apt,5,3,07-06-2019,0.09,1,0
10725464,"Sfeervol en ruim familiehuis
Only for families!",29582869,Wouter En Marjan,,Noord-West,52.41495,4.88927,Entire home/apt,7,1,16-08-2016,0.02,1,0
22148520,"Private, Bright, and Quiet Base for AMS Adventure",65239215,Martin,,Centrum-Oost,52.37117,4.92068,Entire home/apt,2,21,19-11-2019,0.71,1,0
39055506,Cozy apartment in Amsterdam near the City Centre,53721782,Suzan,,Westerpark,52.37308,4.871,Entire home/apt,2,6,09-03-2020,1.1,1,7
29819045,3-Bedroom Family Apartment close to Vondelpark!,224294148,Short Stay Group,,De Baarsjes - Oud-West,52.36537,4.87306,Hotel room,1,16,06-03-2020,1.02,5,233
14435331,Large beautiful central BnB with great canal view!,2232342,Vincent And Niels,,Centrum-West,52.36923,4.88828,Private room,2,108,14-03-2020,2.35,1,166
11417729,Bright guest room Amsterdam BoLo,2176156,Daphne,,Bos en Lommer,52.381040000000006,4.84299,Private room,3,84,01-03-2020,1.64,2,0
36751433,Beautiful apartment @ Rivierenbuurt close to RAI,60098351,Jort,,De Pijp - Rivierenbuurt,52.34455,4.88917,Entire home/apt,3,6,20-10-2019,0.61,1,0
14362812,Spacious and modern apt in heart of the Jordaan,185619,Bas,,Centrum-West,52.37743,4.880719999999999,Entire home/apt,2,1,25-10-2016,0.02,1,0
34671206,Bright house with garden in Amsterdam,39421127,Frédérique,,Oud-Noord,52.390370000000004,4.9087,Entire home/apt,2,6,30-12-2019,0.47,1,0
36517946,Toffe grote studio dichtbij Jordaan en Westerpark!,232516451,Thea,,Bos en Lommer,52.37945,4.86041,Entire home/apt,2,5,16-02-2020,0.48,1,0
42462163,ELEGANCE IN MIDDLE OF THE VIBRANT LEIDSEPLEIN AREA,276248209,Akul,,Centrum-Oost,52.36347,4.88546,Entire home/apt,7,0,,,19,365
13706153,Light and spacious appartment in West,5208763,Meike,,De Baarsjes - Oud-West,52.36939,4.856730000000001,Entire home/apt,2,10,25-06-2017,0.21,1,0
32349420,Luxe studio - family suite for max. 4 persons,242886512,Sandor,,Noord-Oost,52.39624,4.9244,Private room,2,31,08-03-2020,2.01,1,324
42446188,"Central, Exclusive Penthouse with River View",228208519,Eric,,Centrum-Oost,52.37655,4.90603,Entire home/apt,1,3,06-06-2020,0.97,5,337
22202696,Nice Apartment next to Vondel Park and city centre,19525247,Geert,,Zuid,52.35783,4.85124,Entire home/apt,6,0,,,1,0
29701154,Cosy apartment with balconies and view,91082507,Hanneke,,Bos en Lommer,52.37397,4.84553,Entire home/apt,2,16,26-02-2020,0.84,1,0
12464420,2 Bedroom apartment in A'dam West,65205496,Mehmet,,De Baarsjes - Oud-West,52.37355,4.863630000000001,Entire home/apt,4,6,12-04-2017,0.12,1,0
24577795,Bright child friendly apartment with roof terrace,29666074,Lucas,,De Baarsjes - Oud-West,52.37203,4.861280000000001,Entire home/apt,4,3,26-10-2018,0.12,1,0
20030484,Volharding Amsterdam,44826218,Mirjam,,Centrum-West,52.385659999999994,4.8925,Private room,2,152,11-03-2020,4.49,1,162
2345576,Canal Villa Apartment + Roofgarden,4659585,Valerie,,Centrum-Oost,52.36609,4.91064,Entire home/apt,1,54,27-10-2019,0.72,2,228
26761013,Central located spacious app. in hip A'dam East,4867832,Michel,,Oud-Oost,52.357479999999995,4.92204,Entire home/apt,2,13,03-02-2020,0.62,1,0
22609135,Central spacious apartment with roofterrace,8307630,Ai Lien,,De Baarsjes - Oud-West,52.37053,4.86944,Entire home/apt,2,3,06-01-2020,0.11,1,0
26941798,Great city centre canal apartment with cat,202703434,Rijk,,Centrum-Oost,52.37366,4.9027199999999995,Entire home/apt,1,4,19-08-2018,0.18,1,0
8434745,Lovely houseboat in the old centre.,44411468,Marjan,,Centrum-Oost,52.3741,4.90252,Entire home/apt,4,54,09-02-2020,0.96,1,222
4774851,Cosy studio in the heart of the lovely Pijp area,22642887,Marianne,,De Pijp - Rivierenbuurt,52.35215,4.886819999999999,Entire home/apt,2,57,22-02-2020,0.86,1,0
9209591,Warm appartement in Amsterdam,28678425,Le,,Bos en Lommer,52.37635,4.84742,Entire home/apt,3,10,23-10-2016,0.19,1,0
19175715,Relaxing & bright mid-century modern apt by center,1502797,Tiffany,,Bos en Lommer,52.375440000000005,4.85755,Entire home/apt,1,18,10-08-2019,0.52,1,0
24716771,Market View Amsterdam  (Double Room in Apartment),186820657,Grieke,,Geuzenveld - Slotermeer,52.37852,4.82114,Private room,1,0,,,1,0
7632775,Hip apartment with sunny balcony,10436652,Heike,,Zuid,52.35358,4.84815,Entire home/apt,2,26,21-10-2019,0.45,1,89
30855280,Spectacular design appartment,230692166,Cecile,,Zuid,52.34847,4.87659,Entire home/apt,3,2,15-01-2019,0.11,1,0
4355026,Spacious appartment near Jordaan,22606830,Milou,,Westerpark,52.37276,4.871090000000001,Entire home/apt,1,0,,,1,0
15371008,"2 bedrooms, centre, quiet street, balcony, modern",92102983,Neil,,Centrum-West,52.37997,4.884530000000001,Entire home/apt,4,6,31-12-2016,0.14,1,0
40446107,Modern and Light Oasis in Amsterdam,312887290,Mick,,Slotervaart,52.36116,4.83568,Entire home/apt,3,3,06-01-2020,0.55,1,0
37288436,"Spacious room with private balcony, great location",57345837,Lloyd,,De Pijp - Rivierenbuurt,52.3468,4.889819999999999,Private room,1,2,06-08-2019,0.19,1,0
23502168,Cozy brand new apartment Oud West,11834452,Rick,,De Baarsjes - Oud-West,52.36679,4.866280000000001,Entire home/apt,2,0,,,1,0
25508932,Cozy rooms in family house,192489725,Ivo,,Noord-West,52.4098,4.92132,Private room,1,24,17-10-2018,0.98,1,0
13594864,Cosy Canal Apartment - City Centre,17138595,Philippe,,De Baarsjes - Oud-West,52.368179999999995,4.87098,Entire home/apt,3,9,03-01-2020,0.35,1,0
39491674,Luxury brand new house | Amsterdam Noord,303376692,Jade,,Noord-West,52.406209999999994,4.91549,Entire home/apt,5,0,,,1,0
41514807,"super central btw CS/Dam, own bathroom, cosy room",147258764,Eva,,Centrum-West,52.375479999999996,4.89532,Private room,2,3,26-02-2020,0.78,1,179
13370965,Nice comfortable room(s) Amsterdam!,75926333,Nicolette,,Oostelijk Havengebied - Indische Buurt,52.360079999999996,4.94476,Private room,2,116,20-10-2019,2.49,1,0
5718834,Private room in the CENTER,29650604,Iman,,Centrum-Oost,52.37295,4.9202699999999995,Private room,3,234,15-03-2020,3.69,1,359
5087895,Cozy 2 room apartment “The White Street” ,26283403,Willem,,Westerpark,52.382979999999996,4.87822,Entire home/apt,2,48,23-02-2020,1.72,1,0
19319185,Amazing apt with roof terrace next to Vondelpark,135221478,Maarten,,De Baarsjes - Oud-West,52.360459999999996,4.86716,Entire home/apt,3,1,07-08-2017,0.03,1,0
38288699,Double Room in Centre Amsterdam!,6411969,Nadia,,Centrum-West,52.36993,4.88963,Private room,1,3,21-09-2019,0.33,1,0
11051820,Single Room in Shared Flat,20773372,Yu,,Oud-Oost,52.36213,4.93024,Private room,3,3,29-03-2016,0.06,1,0
18389592,High Fidelity (50m2) Amsterdam City Centar,13223378,Vladimir,,Centrum-West,52.36956,4.89497,Entire home/apt,4,9,09-06-2018,0.24,1,0
10479859,House with view on the river!,54015357,Martijn,,Noord-Oost,52.38727,4.9566300000000005,Entire home/apt,1,0,,,1,0
39523637,Canal view apartment near Vondelpark,144751492,Emma,,Zuid,52.35253,4.852469999999999,Entire home/apt,2,1,02-11-2019,0.14,1,0
12929968,Wonderful appt with garden/parkview,6464767,Jeroen & Rosanne,,De Baarsjes - Oud-West,52.36368,4.85048,Entire home/apt,2,31,29-09-2018,0.66,1,0
2535685,Prinsengracht Cozy Retreat,2764651,Maurice & Dorien,,Centrum-Oost,52.36173,4.8922300000000005,Private room,2,261,10-03-2020,3.52,1,21
3893855,Spacious B&B with access to garden,20153017,Delphine Et Nanne,,Watergraafsmeer,52.354690000000005,4.92946,Entire home/apt,2,133,13-03-2020,1.9,1,1
1805233,Beautiful apartment in Amsterdam!!!!! (near RAI),942301,Thomas,,De Pijp - Rivierenbuurt,52.34969,4.905469999999999,Entire home/apt,2,37,05-01-2020,0.49,1,0
22859788,Wonderful Apartment in Amsterdam,169091661,Sander,,De Pijp - Rivierenbuurt,52.34158,4.89895,Entire home/apt,1,22,02-11-2019,0.82,2,364
39413820,Newly build and modern apartment. First guest!,20650718,Giovanni,,Watergraafsmeer,52.33641,4.91164,Entire home/apt,2,0,,,1,313
12895396,Stylish & Modern Apartment in centre of Amsterdam,70543510,Eva,,Centrum-West,52.37193,4.88968,Entire home/apt,2,14,11-02-2017,0.29,1,0
42823876,Spacious and very private room with toilet,6284523,Dana,,De Pijp - Rivierenbuurt,52.35279,4.89269,Entire home/apt,2,0,,,3,7
26035980,Budgetroom met ontbijt inbegrepen,3219665,Rob,,Bijlmer-Centrum,52.318059999999996,4.95981,Private room,3,160,09-03-2020,6.61,2,25
35989309,Quiet canal apartment with amazing view,84026433,Moniek,,Centrum-West,52.37768,4.88397,Entire home/apt,2,9,01-09-2019,0.87,1,0
26402576,Light apartment in de Pijp,40089484,Nialler,,De Pijp - Rivierenbuurt,52.357279999999996,4.89705,Entire home/apt,3,15,15-12-2019,0.64,2,0
29175432,Large family house close to center! with garden,219841292,Teun,,Geuzenveld - Slotermeer,52.382740000000005,4.8299199999999995,Entire home/apt,3,0,,,1,0
18030937,Bright private room close to the city centre,17487329,Heleen,,Oostelijk Havengebied - Indische Buurt,52.37708,4.9232,Private room,3,4,27-08-2017,0.11,1,0
5717553,Javastraat madness,6040051,Ilja,,Oostelijk Havengebied - Indische Buurt,52.3632,4.93334,Entire home/apt,2,24,01-01-2020,0.47,1,26
29889990,Gorgeous studio located in the heart of Amsterdam!,24177354,Jo,,Centrum-West,52.36708,4.89041,Private room,2,13,04-01-2020,0.92,2,365
10161202,Hotel Jansen Amsterdam Vondel 0.17,10076897,Geraldine,,Zuid,52.3415,4.84391,Private room,2,8,28-04-2019,0.15,13,88
27123460,Amsterdam Center 4 bed appartment canal view,204169513,Ernest,,Westerpark,52.385090000000005,4.87878,Entire home/apt,2,9,03-01-2020,0.4,1,0
16345713,New cozy studio fully furnished for 2 persons,28762138,Joyce,,Watergraafsmeer,52.33875,4.9192800000000005,Entire home/apt,3,9,03-01-2019,0.22,1,0
4522340,Cosy Ground Floor Apt With BACKYARD in Amsterdam,8307629,Mara,,De Baarsjes - Oud-West,52.36954,4.85412,Entire home/apt,2,30,21-01-2020,0.66,1,0
