Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
24/11/2020 11:26:16,40,Male,Berlin,Product Manager,13,1,Senior,SQL,Python,70000,,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,200
24/11/2020 11:26:59,29,Male,Berlin,Software Engineer,6,4,Lead,Go,"Python, Go, AWS, Kubernetes, Docker",85000,5000,78000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,1100
24/11/2020 11:27:34,31,Male,Berlin,Backend Developer,5,1,Middle,java,Kotlin,65000,,,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 11:27:39,29,Female,Berlin,QA Engineer,7,1,Middle,,Javascript / Typescript,45000,2000,,,26,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
24/11/2020 11:27:49,39,Male,Berlin,Software Engineer,8,5,Senior,Java,"Python, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",80000,,80000,,29,Full-time employee,Unlimited contract,English,51-100,Startup,No,30,
24/11/2020 11:28:12,27,Male,Berlin,Software Engineer,8,1,Middle,Javascript,,63000,101,,,24,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:28:14,33,Male,Berlin,Data Scientist,5,4,Lead,Python,"Python, R, Google Cloud, Docker",150000,80000,81000,4000,24,Full-time employee,Unlimited contract,English,1000+,Product,No,0,1
24/11/2020 11:28:58,28,Female,Berlin,Designer (UI/UX),7,7,Middle,Figma,,45000,,37000,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:29:18,30,Male,Berlin,Software Engineer,8,3,Senior,JavaScript,"Python, Javascript / Typescript, Java / Scala, Go, Kubernetes, Docker",80000,,72000,3500,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,
24/11/2020 11:29:38,28,Male,Berlin,Backend Developer,5,1,Senior,Kotlin,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",75000,,58000,,25,Full-time employee,Unlimited contract,English,101-1000,Startup,No,0,
24/11/2020 11:29:55,38,Male,Berlin,DevOps,10,5,Senior,Go/Python,"AWS, Kubernetes, Docker",70000,,65000,,30,Full-time employee,Unlimited contract,English,51-100,Startup,No,0,
24/11/2020 11:30:00,29,Male,Berlin,Frontend Developer,7,2,Senior,React,Javascript / Typescript,72000,12000,63000,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,1000
24/11/2020 11:30:11,49,Male,Berlin,Software Engineer,15,15,Senior,Java,SQL,67000,1500,66000,,29,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:30:21,32,Male,Berlin,Frontend Developer,10,5,Senior,TypeScript,"AWS, Kubernetes",105000,,80000,,60,Self-employed (freelancer),Temporary contract,English,101-1000,Product,Yes,,5000
24/11/2020 11:30:38,33,Female,Berlin,Software Engineer,12,5,Senior,С#,"Python, C/C++, Javascript / Typescript, .NET, SQL",88000,35200,96000,20000,30,Full-time employee,Unlimited contract,English,1000+,Product,,,
24/11/2020 11:30:45,30,Male,Berlin,Software Engineer,6,3,Senior,Java,"Kotlin, AWS, Kubernetes, Docker",74000,15000,54000,54000,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:31:01,48,Male,Berlin,Software Engineer,25,11,Senior,Java,"Kotlin, Java / Scala, SQL",75000,,75000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:31:38,28,Female,Berlin,Designer (UI/UX),5,1,Senior,,,60000,,,,20,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:31:45,32,Male,Berlin,Backend Developer,3,1,Middle,Java,"AWS, Kubernetes, Docker",77000,,62000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:31:50,38,Female,Berlin,Backend Developer,12,6,Senior,,C/C++,70000,8000,63000,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,0,
24/11/2020 11:31:51,31,Male,Berlin,Software Engineer,7,3,Lead,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",76000,10000,69000,,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 11:32:11,35,Male,Berlin,Backend Developer,10,7,Senior,Ruby,"Go, AWS, Kubernetes, Docker, Elixir",75000,,72000,15000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,500
24/11/2020 11:32:24,28,Female,Berlin,Designer (UI/UX),7,7,Middle,Figma,,45000,,37000,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:32:28,29,Female,Berlin,QA Engineer,8,5,Senior,,,60000,,52000,,28,Full-time employee,Unlimited contract,English,51-100,Startup,Yes,,
24/11/2020 11:32:48,32,Male,Berlin,Backend Developer,8,5,Senior,PHP,"PHP, SQL, AWS, Kubernetes, Docker",65000,,60000,,30,Full-time employee,Unlimited contract,English,11-50,Product,No,0,
24/11/2020 11:32:57,44,Male,Berlin,Backend Developer,12,3,Senior,Java,"SQL, Go, Kubernetes, Docker",68000,,68000,,26,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24/11/2020 11:33:08,,Male,Berlin,Software Engineer,,1,Senior,PHP,,75000,,,,,Full-time employee,,English,,,No,0,
24/11/2020 11:33:33,35,Male,Munich,Software Engineer,11,3,Senior,Php,"Javascript / Typescript, AWS, Kubernetes, Docker",65000,5000,65000,,29,Full-time employee,Unlimited contract,German,101-1000,Product,No,,2000
24/11/2020 11:33:45,33,Male,Munich,DevOps,15,4,Lead,Kubernetes,"AWS, Google Cloud, Azure, Docker",90000,10000,78000,85000,30,Full-time employee,Unlimited contract,,101-1000,Product,No,,
24/11/2020 11:33:46,29,Male,Berlin,Software Engineer,5,3,Senior,Go,"Java / Scala, AWS, Docker",75000,,58000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:33:51,66,Male,Munich,Software Engineer,40,4,Lead,ruby on rails,"Javascript / Typescript, Ruby, SQL",70000,,50000,,30,Full-time employee,Unlimited contract,German,51-100,Product,No,0,
24/11/2020 11:35:25,39,Female,Berlin,Software Engineer,10,10,Senior,Java,"Javascript / Typescript, SQL",70500,1000,68000,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,500
24/11/2020 11:36:44,28,Male,Munich,Backend Developer,5,4,Senior,Kotlin,"Kotlin, Javascript / Typescript, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",72000,,56000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:37:39,34,Male,Munich,Frontend Developer,5,5,Senior,JavaScript/ES6,,73500,,70000,,27,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24/11/2020 11:37:52,34,Male,Munich,Software Engineer,13,3,Lead,.NET,".NET, SQL",72000,72000,60000,60000,30,Full-time employee,Unlimited contract,English,51-100,Product,No,32,
24/11/2020 11:38:10,32,Male,Munich,Frontend Developer,7,5,Senior,Javascript,"Javascript / Typescript, Java / Scala",62000,,60000,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,
24/11/2020 11:38:14,38,Male,Stuttgart,Hardware Engineer,15,5,Lead,Hardware,,83000,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,,,
24/11/2020 11:38:15,32,Male,Berlin,Data Scientist,10,10,Head,,,110000,30000,85000,15000,30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,,
24/11/2020 11:38:22,45,Male,Schleswig-Holstein,Software Engineer,26,18,Senior,C#,"C/C++, .NET, SQL",93000,10000,93000,11000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:39:21,48,Male,London,Data Engineer,23,0,,Google Cloud Platform,"Python, SQL, Go, Google Cloud, bash",110000,,,,,Company Director,Temporary contract,English,up to 10,Personal Ltd,Yes,,
24/11/2020 11:40:04,28,Male,Berlin,Software Engineer,3,2,Middle,Js,"Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker, Quorum",55000,,42000,,22,Full-time employee,Unlimited contract,English,11-50,Startup,No,24,
24/11/2020 11:40:05,29,Male,Konstanz area,Mobile Developer,6,3,Middle,android,Kotlin,53000,,53000,,26,Full-time employee,Unlimited contract,English,11-50,Startup,No,20,
24/11/2020 11:40:24,36,Male,Munich,Backend Developer,15,3,Senior,java,PHP,55000,,55000,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,600
24/11/2020 11:40:42,39,Male,Berlin,Software Engineer,10,2,Senior,C#,"Javascript / Typescript, .NET, SQL, Azure, Docker",75000,,65000,,30,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,,
24/11/2020 11:40:45,29,Male,Munich,Software Engineer,7,3,Senior,JavaScript ,"Kotlin, Javascript / Typescript, Java / Scala, Docker",80000,5000,72000,2500,24,Full-time employee,Unlimited contract,English,1000+,Product,No,,1000
24/11/2020 11:42:49,31,Male,Berlin,Engineering Manager,11,6,Lead,Java,"Python, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",80000,,79000,,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,40,200
24/11/2020 11:43:28,30,Male,Berlin,Backend Developer,5,5,Middle,Java,,55000,,,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:43:34,30,Male,Munich,DevOps,8,2,Middle,,,70200,75000,63000,63000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:43:49,33,Male,Frankfurt,Software Engineer,4,0,Middle,Java,,50000,,,,24,Full-time employee,Unlimited contract,English,11-50,Consulting / Agency,No,,
24/11/2020 11:44:00,27,Male,Berlin,Software Engineer,5,1,Senior,Scala,Java / Scala,78000,,70000,,30,Full-time employee,Unlimited contract,English,1000+,Startup,No,,
24/11/2020 11:44:02,26,Female,Munich,Data Scientist,6,2,Middle,python,"Python, C/C++, SQL, Docker",60000,10000,60000,60000,26,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:44:10,26,Male,Berlin,Software Engineer,8,3,Lead,Go,"Python, PHP, Javascript / Typescript, Go, Google Cloud, Kubernetes, Docker",85000,,75000,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:44:18,31,Female,Berlin,Analytics engineer,6,2,Middle,SQL,Python,60000,,50000,500,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,500
24/11/2020 11:44:34,30,Male,Berlin,Software Engineer,10,2,Senior,Scala,"Python, Java / Scala, AWS, Docker",72000,,70000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:44:51,38,Male,Berlin,Localization producer,17,3,Middle,,,68500,30000,62400,122000,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,8000
24/11/2020 11:44:59,43,Male,Berlin,Mobile Developer,5,3,Senior,Kotlin,"Kotlin, Java / Scala",72000,,68000,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:45:28,33,Male,Berlin,Software Engineer,5,1,Middle,python,Kubernetes,65000,,65000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,
24/11/2020 11:45:31,31,Male,Berlin,Software Engineer,9,,Senior,"C#, .net core","Python, .NET, AWS, Azure, Kubernetes, Docker",60000,,,,25,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 11:46:15,32,Female,Berlin,QA Engineer,10,,Senior,Java,"Kotlin, Javascript / Typescript, SQL, Docker",61000,,55000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:46:16,24,Male,Berlin,Data Scientist,4,2,Senior,Python,"Python, AWS, Docker",73000,73000,50000,50000,24,Full-time employee,Unlimited contract,English,101-1000,Startup,No,0,
24/11/2020 11:46:21,29,Male,Berlin,DevOps,7,1,Lead,Kubernetes,"Python, Go, AWS, Kubernetes",78000,10000,70000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:46:42,29,Male,Berlin,Data Scientist,4,4,Senior,Python,"SQL, AWS, Docker",81000,,72000,,29,Full-time employee,Unlimited contract,English,101-1000,Product,No,,300
24/11/2020 11:46:48,30,Male,Munich,Hardware Engineer,5,5,Senior,VHDL,Python,75000,10000,73000,8000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:48:46,35,Female,Berlin,Reporting Engineer,3,2,Middle,Power BI,"Python, Javascript / Typescript, SQL, SAP / ABAP, Google Cloud, Azure",55000,3000,45000,,31,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:48:57,27,Female,Hamburg,Account Managet,6,1,Senior,,,50000,,,,28,Full-time employee,Temporary contract,English,101-1000,Product,No,,
24/11/2020 11:49:06,32,Female,Berlin,Product Manager,8,8,No level,,,55000,,,,27,Full-time employee,Unlimited contract,German,11-50,Consulting / Agency,No,,
24/11/2020 11:49:42,33,Male,Munich,QA Engineer,5,1,Senior,Java,Docker,60000,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:50:04,28,Male,Berlin,Software Engineer,8,3,Lead,PHP ,"Python, Javascript / Typescript, .NET, SQL, AWS, Azure, Kubernetes, Docker",80000,,72000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:50:47,31,Female,Munich,agile master ,14,7,Middle,none,,80000,,80000,,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:50:51,32,Male,Munich,Software Engineer,7,3,Senior,Android,Kotlin,60000,,60000,,38,Full-time employee,Unlimited contract,English,51-100,Product,No,40,
24/11/2020 11:50:52,30,Male,Berlin,Backend Developer,8,2.5,Senior,Scala,"Python, Kotlin, Java / Scala, SQL, Kubernetes, Docker",80000,,60000,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:50:56,26,Male,Munich,Backend Developer,7,"1,5",Senior,Java,,78000,4000,61000,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:51:35,31,Male,Munich,Software Engineer,10,2,Senior,Java,"Python, Javascript / Typescript, SQL, Kubernetes, Docker",68000,,68000,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:52:49,38,Female,Munich,QA Engineer,6,2,Middle,Java,,62000,,62000,,26,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:53:56,37,Male,Berlin,Software Engineer,10,3,Senior,PHP,"PHP, Javascript / Typescript, SQL",55000,,55000,,26,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 11:54:06,25,Male,Munich,Software Engineer,3,1,Middle,Java,"Python, SQL, AWS, Azure, Kubernetes, Docker",62000,,55000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:54:18,36,Male,Berlin,Frontend Developer,12,4,Senior,JavaScript,"Javascript / Typescript, AWS, Docker",72000,,72000,,26,Full-time employee,Unlimited contract,English,up to 10,Startup,No,,
24/11/2020 11:54:32,27,Male,Munich,QA Engineer,5,1,Senior,Swift,"Kotlin, Ruby",58000,5800,58000,101,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:55:06,35,Male,Frankfurt,ML Engineer,12,10,Senior,ML,"Python, Java / Scala, R, SQL, AWS, Azure",120000,30000,90000,30000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,0,
24/11/2020 11:55:07,37,Male,Munich,Software Engineer,15,2,Senior,php,"PHP, Javascript / Typescript, SQL, Docker",75000,,72500,,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,200
24/11/2020 11:55:33,26,Male,Munich,Data Scientist,3,2,Middle,Python,"Python, SQL, AWS, Docker",65000,7000,52000,300,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:55:57,33,Male,Frankfurt,Solution Architect,6,6,Middle,Python,"SQL, AWS, Google Cloud, Kubernetes, Docker",85000,40000,78000,7000,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:56:00,34,Male,Berlin,Frontend Developer,7,1,Senior,JavaScript,Docker,65000,,,,25,Full-time employee,Unlimited contract,English,up to 10,Startup,No,,
24/11/2020 11:56:05,33,Male,Berlin,Backend Developer,12,6,Lead,PHP,"Javascript / Typescript, SQL, AWS, Docker",65000,,60000,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,
24/11/2020 11:56:25,,Male,Berlin,QA Engineer,6,6,Middle,Javascript,"Javascript / Typescript, AWS",50000,,45000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,
24/11/2020 11:56:47,29,Male,Berlin,Backend Developer,8,0,Senior,Scala,"Java / Scala, AWS, Kubernetes, Docker",72000,,,,25,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 11:56:56,24,Male,Munich,Software Engineer,5,2,Middle,C++,"Javascript / Typescript, Go",79000,56000,77000,33000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,900
24/11/2020 11:57:37,28,Female,Munich,QA Engineer,6,2,Middle,,,65000,3000,42000,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,1600
24/11/2020 11:57:53,30,Female,Berlin,Software Engineer,8,2,Senior,"Scala, React.js","Javascript / Typescript, SQL, AWS, Kubernetes, Docker",75000,,65000,,35,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:57:55,28,Male,Cologne,BI Consultant,8,1,Senior,SQL,"Python, Javascript / Typescript",60000,12000,,,28,Full-time employee,Unlimited contract,English,up to 10,Consulting / Agency,No,,1500
24/11/2020 11:58:24,31,Male,Munich,Backend Developer,11,1,Senior,PHP,"Javascript / Typescript, Java / Scala, AWS, Kubernetes, Docker",80000,4000,80000,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:59:14,28,Male,Munich,Mobile Developer,5,3,Senior,iOS,Swift,57000,8000,70000,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:59:20,32,Female,Kempten,Fullstack Developer,10,1,Middle,C#,"Javascript / Typescript, .NET, SQL",49000,,,,30,Full-time employee,Unlimited contract,English and German,51-100,Product,No,,
24/11/2020 11:59:33,28,Male,Berlin,Software Engineer,6,2,Senior,Java,"Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",65000,75000,60000,60000,28,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 11:59:38,26,Female,Munich,Data Scientist,3,1,Junior,Ml/Python,"Python, AWS, Docker",70000,12000,,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 12:00:01,33,Male,Berlin,Mobile Developer,6,4,Middle,Swift,,63000,6300,60000,6000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,850
24/11/2020 12:00:20,41,Male,Munich,Product Manager,18,3,Middle,,,72000,,60000,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 12:00:59,31,Male,Berlin,Software Engineer,9,1,Senior,"C#, .net core","Python, Javascript / Typescript, .NET, AWS, Azure, Kubernetes, Docker",60000,6000,,,25,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 12:01:01,30,Male,Munich,Frontend Developer,6,1,Senior,Javascript,"Javascript / Typescript, AWS, Docker",75000,101,,,28,Full-time employee,Unlimited contract,English,51-100,Product,No,0,
24/11/2020 12:01:59,31,Male,Berlin,Frontend Developer,8,1,Senior,JavaScript/TypeScript,"Javascript / Typescript, Google Cloud, Docker",70000,101,,,24,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 12:02:04,37,Male,Munich,Backend Developer,12,4,Senior,php,"Javascript / Typescript, Docker",62000,5000,60000,5000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,32,
24/11/2020 12:04:10,30,Male,Berlin,Software Engineer,10,5,Lead,Python,"Python, SQL",78000,1000,75000,1000,,Full-time employee,Unlimited contract,English,101-1000,Startup,No,30,
24/11/2020 12:04:15,34,Male,Munich,,17,6,Lead,Java,"Python, Java / Scala, R, SQL, Go, AWS, Google Cloud, Azure, Kubernetes, Docker",120000,20000,110000,10000,32,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,,5000
24/11/2020 12:06:20,25,Male,Munich,Backend Developer,5,0,Senior,Java,"Kotlin, Java / Scala, SQL, SAP / ABAP, Kubernetes, Docker",75000,5000,,,24,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 12:06:41,36,Male,Berlin,Backend Developer,19,5,Senior,PHP,"Javascript / Typescript, SQL, AWS, Docker",69000,,69000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 12:06:58,40,Male,Berlin,Frontend Developer,7,1,Middle,Javascript,"PHP, Javascript / Typescript, Dart",54000,,54000,,24,Full-time employee,Unlimited contract,English,11-50,Product,No,10,
24/11/2020 12:07:16,37,Male,Berlin,Product Manager,6,6,Middle,,,62000,62000,58000,60000,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,
