Timestamp,Age,Gender,City,Position,Years of experience,Your level,Current Salary,Salary one year ago,Salary two years ago,Are you getting any Stock Options?,Main language at work,Company size,Company type
14/12/2018 13:45:42,,M,München,Senior Frontend Developer,10,Senior,65000,,,No,English,100-1000,Product
14/12/2018 13:45:55,30,M,München,Embedded Software Engineer,7,Middle,75000,72000,67000,No,English,50-100,Product
14/12/2018 13:46:20,24,F,München,iOS developer,3,Middle,57000,45000,,No,Russian,100-1000,Product
14/12/2018 13:46:29,43,M,Berlin,Data Engineer,10,Senior,84000,78000,76000,No,English,50-100,Product
14/12/2018 13:46:46,28,M,München,iOS Developer,6,Senior,70000,45000,,No,English,1000+,Product
14/12/2018 13:46:50,29,M,Bremen,Software Engineer,1,Junior,55000,,,No,Deutsch,10-50,Product
14/12/2018 13:47:09,32,M,München,PHP Developer,6,Senior,60000,57000,,Yes,English,100-1000,Product
14/12/2018 13:47:36,31,M,Frankfurt,Ruby developer,11,Senior,65000,61000,55000,No,English,100-1000,Product
14/12/2018 13:48:17,33,M,Berlin,Frontend Developer,10,Senior,70000,,,No,English,10-50,Startup
14/12/2018 13:50:54,29,M,,Embedded engineer,7,Middle,50000,50000,50000,,English,up to 10,Product
14/12/2018 13:52:38,28,M,München,Java Fullstack Developer,7.5,Middle,65000,65000,60000,No,Deutsch,50-100,Agency
14/12/2018 13:54:01,32,M,München,Senior Software Developer,10,Senior,78000,65000,60000,No,English,10-50,Startup
14/12/2018 13:54:15,26,F,Regensburg,Mobile App Developer,1,Junior,60000,,,,Deutsch,1000+,Product
14/12/2018 13:54:24,34,M,Hamburg,Scala Developer,10,Senior,71000,68000,68000,Yes,English,50-100,Startup
14/12/2018 13:54:51,29,M,München,DevOps,9,Senior,75000,58000,55000,No,Deutsch,100-1000,Product
14/12/2018 13:55:13,27,F,Frankfurt,Consultant,1,Junior,49000,45000,10001,No,English,1000+,Consultancy
14/12/2018 13:55:42,28,M,Hamburg,Ruby developer,4,Senior,65000,,,No,English,100-1000,Product
14/12/2018 13:56:04,34,M,München,BA/PM,10,Senior,68000,,,Yes,English,10-50,Product
14/12/2018 13:58:27,35,M,München,DevOps Engineer,10,Senior,56000,,,No,English,50-100,Product
14/12/2018 14:00:15,32,F,Berlin,QA,3,Junior,30000,,,No,English,50-100,Product
14/12/2018 14:00:22,32,M,München,C++ Software Enginеer,11,Senior,72000,72000,,No,English,up to 10,Product
14/12/2018 14:00:57,,F,Frankfurt,Software Developer,4,Middle,65000,60000,45000,Yes,English,100-1000,Product
14/12/2018 14:01:59,29,M,Frankfurt,iOS developer,5,Middle,45000,,,No,English,up to 10,Agency
14/12/2018 14:03:15,36,F,München,Automation QA,4,Middle,55000,,,No,English,1000+,Product
14/12/2018 14:03:29,29,M,Lisbon,iOS developer,6,Middle,40000,,,Yes,English,1000+,Product
14/12/2018 14:04:31,25,M,Frankfurt,Frontend Developer,5,Middle,66000,55000,42000,No,English,100-1000,Agency
14/12/2018 14:04:45,,M,Frankfurt,Software Engineer,7,Senior,66000,66000,66000,No,English,100-1000,Product
14/12/2018 14:04:58,,F,Hamburg,Java Developer,5,Middle,54000,56000,56000,No,English,100-1000,Product
14/12/2018 14:05:28,25,M,München,Backend Developer,3,Senior,60000,60000,,No,Russian,10-50,Startup
14/12/2018 14:08:20,32,M,Berlin,Frontend developer,6,Middle,50000,45000,42000,Yes,English,10-50,Product
14/12/2018 14:09:38,29,M,Berlin,SDET,7,Senior,60000,60000,,No,English,1000+,Product
14/12/2018 14:10:00,,M,Leipzig,iOS Developer,3,Senior,48000,,,No,English,100-1000,Agency
14/12/2018 14:11:36,26,M,München,Android Developer,4,Middle,66000,22400,,No,English,1000+,Agency
14/12/2018 14:15:19,33,M,Frankfurt,Technical Lead,10,Senior,95000,84000,82000,No,Deutsch,1000+,Product
14/12/2018 14:15:23,28,M,München,FrontEnd dev,8,Middle,61000,61000,,No,English,100-1000,Product
14/12/2018 14:19:00,31,M,Berlin,Technical product manager,1,Middle,65000,65000,60000,No,English,100-1000,Startup
14/12/2018 14:20:07,29,M,Berlin,Javascript software developer,5,Middle,55000,46000,,No,English,10-50,Startup
14/12/2018 14:21:25,29,M,München,Java Developer,8,Senior,72000,,,No,Russian,100-1000,Product
14/12/2018 14:22:39,33,M,Berlin,,,Middle,90000,60000,60000,Yes,English,1000+,Product
14/12/2018 14:26:57,31,M,Berlin,DevOps,12,Senior,60000,49050,42500,No,English,50-100,Startup
14/12/2018 14:27:10,,M,München,Java Developer,5,Middle,60000,,,No,English,100-1000,Product
14/12/2018 14:28:17,27,M,Berlin,DevOps Engineer,10,Senior,87000,75000,65000,No,English,100-1000,Product
14/12/2018 14:29:00,30,M,Berlin,iOS Developer,6,Senior,70000,55000,50000,No,English,100-1000,Product
14/12/2018 14:29:12,,F,München,Graphic Designer,8,Middle,30000,29000,27000,No,English,up to 10,Startup
14/12/2018 14:29:35,34,F,Berlin,Manager,5,Middle,55000,50000,,No,English,100-1000,Startup
14/12/2018 14:29:48,24,,München,Frontend Developer,3,Middle,57000,55000,10001,No,English,1000+,Product
14/12/2018 14:31:08,44,M,München,Project Manager,14,Senior,73000,70000,65000,No,Russian,50-100,
14/12/2018 14:32:30,37,M,Berlin,Senior/Lead Developer,15,Senior,85000,75000,70000,Yes,English,up to 10,Startup
14/12/2018 14:32:47,,M,Stuttgart,Senior QA,4,Senior,65000,60000,,No,English,1000+,Agency
14/12/2018 14:32:55,,M,Stuttgart,Senior QA,4,Senior,65000,60000,,No,English,1000+,Agency
14/12/2018 14:33:05,33,M,Berlin,Technical Product Manager,,Senior,58000,58000,55000,No,English,100-1000,Startup
14/12/2018 14:33:16,36,M,Berlin,Mobile Lead,14,Senior,82000,72000,72000,No,English,100-1000,Product
14/12/2018 14:33:48,34,M,Berlin,Software Engineer,10,Senior,67000,65000,,Yes,English,100-1000,Product
14/12/2018 14:35:19,31,M,Berlin,Frontend developer,12,Senior,65000,60000,60000,No,English,100-1000,Product
14/12/2018 14:35:19,25,M,München,Software Developer,3,Middle,62000,20000,16000,No,English,100-1000,Outsource
14/12/2018 14:35:22,28,M,Berlin,Frontend Engineer,6,Senior,62000,58000,55000,No,English,50-100,Startup
14/12/2018 14:36:04,38,M,Berlin,Front-end developer,19,Senior,83000,57000,57000,No,English,100-1000,Product
14/12/2018 14:36:57,32,F,Berlin,Data Engineer,10,Senior,75000,68000,,No,English,1000+,Product
14/12/2018 14:37:00,22,M,Berlin,Data scientist,2,Middle,50000,,,No,English,50-100,Startup
14/12/2018 14:37:59,37,M,München,Head of Product ,8,Senior,100000,100000,85000,No,English,50-100,Agency
14/12/2018 14:38:13,32,M,Berlin,Research Engineer,10,Middle,75000,,,No,English,1000+,Product
14/12/2018 14:39:31,40,M,Berlin,PHP Backend Developer,18,Senior,69000,65000,65000,No,English,50-100,Agency
14/12/2018 14:39:33,24,M,Berlin,Java Developer,3,Middle,50000,45000,40000,No,English,100-1000,Product
14/12/2018 14:40:36,36,M,Berlin,SW Developer,10,Middle,73000,58000,55000,No,English,50-100,Startup
14/12/2018 14:42:07,35,M,Berlin,Senior Engineer (PHP),15,Senior,120000,85000,70000,Yes,English,1000+,Product
14/12/2018 14:43:15,28,M,Frankfurt,webdev,5,Senior,50000,41000,,No,English,10-50,Product
14/12/2018 14:43:19,32,M,München,Web Developer ,3,Middle,58000,50000,43000,Yes,Deutsch,1000+,
14/12/2018 14:45:08,33,M,,Java Developer,11,Senior,65000,62000,58000,No,Deutsch,50-100,Product
14/12/2018 14:46:20,36,F,München,QA ,3,Middle,30000,30000,12000,No,English,10-50,Product
14/12/2018 14:46:28,32,M,Berlin,Machine Learning Engineer,,Senior,80000,70000,63000,Yes,English,up to 10,Startup
14/12/2018 14:46:54,32,M,Berlin,Frontend Developer,10,Senior,70000,,,No,English,50-100,Startup
14/12/2018 14:48:13,32,M,München,Data Scientist,4,Senior,65000,60000,,No,English,50-100,Product
14/12/2018 14:48:46,31,M,Berlin,Software Architect,12,Senior,78600,75000,69000,No,English,100-1000,Product
14/12/2018 14:51:20,34,M,Berlin,Principal Software Engineer,13,Senior,70000,84000,75000,No,English,10-50,Product
14/12/2018 14:54:00,,M,Amsterdam,FrontEnd Developer,5,Senior,60000,,,,English,1000+,Product
14/12/2018 14:56:28,32,M,Berlin,Senior Javascript Engineer,6,Senior,78000,65000,65000,No,English,100-1000,Startup
14/12/2018 14:57:07,34,M,Berlin,Engineering Manager,17,Senior,70000,70000,60000,Yes,English,50-100,Startup
14/12/2018 14:58:17,32,M,Luxembourg,SDE,8,Middle,89000,90000,65000,Yes,English,1000+,Product
14/12/2018 15:00:18,27,F,München,Python dev,0.5,Junior,60000,,,Yes,English,50-100,Product
14/12/2018 15:01:21,31,F,München,QA Engineer ,5,Middle,60000,,,No,English,50-100,Product
14/12/2018 15:02:04,32,M,Berlin,Android developer ,9,Senior,72000,68000,68000,No,English,1000+,Product
14/12/2018 15:02:23,,M,München,Web Designer,3,Middle,43000,36000,32000,No,Deutsch,50-100,Product
14/12/2018 15:04:23,27,M,Berlin,Senior Software Engineer ,7,Senior,72000,65000,50000,No,English,1000+,Product
14/12/2018 15:05:01,30,M,Berlin,Senior Backend Developer,7,Senior,65000,62000,,No,English,1000+,Startup
14/12/2018 15:05:08,34,M,Berlin,Agile coach,5,Senior,85000,70000,65000,No,English,1000+,Agency
14/12/2018 15:08:12,30,M,Berlin,QA,8,Senior,55000,50000,,No,English,50-100,Product
14/12/2018 15:08:33,24,M,Berlin,MTS,4,Middle,65000,,,Yes,English,100-1000,Startup
14/12/2018 15:09:01,28,F,Berlin,Frontend Developer,4,Middle,56000,51000,45000,No,English,1000+,Product
14/12/2018 15:11:21,39,M,Bern, .Net Developer,10,Senior,107000,56000,54000,No,Deutsch,100-1000,Product
14/12/2018 15:11:22,29,M,Berlin,Python developer,3,Middle,60000,,,No,English,100-1000,Product
14/12/2018 15:12:01,34,M,München,Android Developer,7,Senior,70000,,,No,English,100-1000,Startup
14/12/2018 15:12:19,30,M,Berlin,Embedded Developer,6,Middle,60000,58000,,No,English,100-1000,Product
14/12/2018 15:14:28,35,M,Berlin,.NET developer,15,Senior,62000,54000,54000,No,English,100-1000,Product
14/12/2018 15:18:07,37,M,Berlin,Seniour software developer,14,Senior,78000,68000,65000,Yes,English,10-50,Startup
14/12/2018 15:18:58,25,M,Frankfurt,Junior IT Manager,,Junior,60000,55000,,Yes,English,1000+,Industry
14/12/2018 15:20:33,37,M,Berlin,Full stack developer ,15,Senior,54000,54000,,No,English,10-50,Product
14/12/2018 15:21:25,27,F,Berlin,IT Project Manager,4,Middle,46000,46000,40000,No,Deutsch,100-1000,E-Commerce firm
14/12/2018 15:21:26,30,M,Bonn,Business Analyst,7,Middle,64000,60000,54000,No,English,1000+,Product
14/12/2018 15:22:45,33,M,Berlin,fullstack developer,10,Senior,65000,55000,55000,No,English,10-50,Product
14/12/2018 15:23:40,32,M,Berlin,Frontent Developer,5,Middle,58000,23000,18000,No,English,10-50,Startup
14/12/2018 15:24:22,,M,München,Senior Java Developer,13,Senior,75000,70000,65000,No,English,1000+,Product
14/12/2018 15:27:36,30,M,Frankfurt,Software Developer,8,Senior,95000,80000,75000,No,English,100-1000,Product
14/12/2018 15:30:21,27,F,Berlin,Android Developer,5,Middle,60000,,,No,English,100-1000,Product
14/12/2018 15:30:27,28,M,München,Software Developer,6,Middle,53000,,,No,English,100-1000,Product
14/12/2018 15:31:13,30,M,Berlin,Software Engineer,3,Middle,69000,,,No,English,1000+,Product
14/12/2018 15:31:33,39,M,Berlin,Scala developer,20,Senior,84000,82000,54000,No,English,1000+,Product
14/12/2018 15:32:58,26,M,Berlin,UX/UI designer,5,Senior,52000,,,Yes,English,10-50,Startup
14/12/2018 15:34:50,,M,München,Senior Java,12,Senior,85000,75000,75000,Yes,English,10-50,Product
14/12/2018 15:36:26,30,M,Berlin,SRE,7,Senior,75000,,,Yes,English,50-100,
14/12/2018 15:44:27,,M,München,developer,6,Senior,63000,60000,,No,English,100-1000,Product
14/12/2018 15:44:57,39,M,Berlin,DBA,17,Senior,87000,80000,65000,Yes,English,1000+,Product
14/12/2018 15:47:44,35,F,Berlin,Software Engineer,14,Senior,65000,,,Yes,English,10-50,Startup
14/12/2018 15:50:50,30,F,Berlin,Computational Linguist,3,Middle,50400,43200,38400,No,English,10-50,Startup
14/12/2018 15:54:33,26,M,Berlin,Software Engineer,6,Senior,65000,52000,,No,English,100-1000,Product
14/12/2018 15:55:41,,M,Hamburg,SAP Basis Administrator,19,Senior,85000,80000,75000,No,Deutsch,1000+,Product
14/12/2018 15:56:16,27,M,Berlin,Data Scientist,2.5,Senior,66000,13000,13000,No,English,100-1000,Startup
14/12/2018 15:56:57,43,F,München,Programmierer/Consultant,0.5,Junior,32000,,,No,Deutsch,10-50,Product
14/12/2018 15:58:16,42,M,München,Java Developer,15,Middle,42000,42000,45000,No,Deutsch,10-50,Product
14/12/2018 16:11:51,31,M,Berlin,Full stack engineer,11,Senior,65000,55000,36000,No,English,100-1000,Product
14/12/2018 16:13:11,34,M,Berlin,Software engineer,8,Middle,74000,72000,54000,No,English,1000+,Startup
14/12/2018 16:14:28,,M,Berlin,Java Developer,10,Senior,75000,,,No,English,100-1000,Startup
14/12/2018 16:15:58,30,M,München,Software Engineer,8,Senior,72500,65000,58000,No,English,100-1000,Product
14/12/2018 16:18:51,37,M,Berlin,Database Administrator,7,Senior,53000,47000,44000,No,Deutsch,100-1000,Product
14/12/2018 16:22:31,,M,Frankfurt,Senior Software Engineer,13,Senior,102000,92000,84000,No,English,100-1000,Product
14/12/2018 16:23:37,27,M,Hamburg,Frontend Developer,11,Senior,60000,58000,50000,No,English,100-1000,Product
14/12/2018 16:28:22,30,M,Berlin,Software Engineer JavaSctipt,10,Senior,75000,56000,50000,No,English,1000+,Product
14/12/2018 16:34:10,33,M,Berlin,PM,15,Senior,85000,75000,70000,Yes,English,1000+,
14/12/2018 16:36:10,38,M,Köln,Java Developer,12,Senior,60000,,,No,Deutsch,10-50,Consulting
14/12/2018 16:37:06,35,M,Berlin,Developer,9,Senior,60000,60000,55000,Yes,English,up to 10,Startup
14/12/2018 16:39:31,36,M,Berlin,Head of Engineering,15,Senior,85000,75000,72000,No,Deutsch,10-50,Product
14/12/2018 16:59:14,25,M,Berlin,Android Developer,5,Middle,50000,,,Yes,English,10-50,Startup
14/12/2018 16:59:45,32,M,Berlin,product manager,5,,60000,57000,57000,No,English,100-1000,Product
14/12/2018 17:00:26,35,M,Köln,Angular,5,Middle,35000,35000,35000,No,English,1000+,Product
14/12/2018 17:01:05,29,M,München,Senior Android Developer,8,Senior,75000,58000,54000,No,English,50-100,Agency
14/12/2018 17:06:24,30,F,Berlin,Full Stack Developer,4,Middle,58000,45000,38000,No,English,10-50,Product
14/12/2018 17:09:17,33,M,Berlin,Software Developer,12,Senior,75000,65000,,No,English,1000+,Internal development for a non-IT company
14/12/2018 17:09:32,30,M,Baden-Württemberg ,Mobile developer,8,Senior,70000,55000,55000,Yes,English,10-50,Startup
14/12/2018 17:11:47,30,M,Berlin,PHP Developer,11,Senior,65000,65000,60000,No,English,50-100,Startup
14/12/2018 17:13:28,31,F,Berlin,Software Engineer,8,Senior,55800,52800,48000,No,Deutsch,1000+,Product
14/12/2018 17:28:55,26,M,Berlin,Automation QA,4,Middle,55000,55000,44000,No,English,1000+,Product
14/12/2018 17:36:48,27,M,Berlin,Frontend Developer,5,Middle,55000,,,No,English,1000+,Product
14/12/2018 17:45:50,34,M,Berlin,Android Developer,7,Senior,70000,56000,48000,No,Deutsch,100-1000,Product
14/12/2018 17:47:16,35,M,Berlin,PHP Developer,12,Senior,63000,63000,50000,No,English,100-1000,Product
14/12/2018 17:47:38,29,M,Berlin,Data scientist,8,Senior,115000,85000,65000,Yes,English,1000+,Product
14/12/2018 17:52:18,28,M,München,Software Engineer (Android),2,Middle,52000,23000,,No,Deutsch,100-1000,Agency
14/12/2018 17:54:53,39,M,Frankfurt,SAP Consultant,13,Senior,176000,110000,100000,No,English,1000+,Product
14/12/2018 17:55:01,35,M,München,C++ developer,14,Senior,70000,58000,56000,No,English,up to 10,Startup
14/12/2018 18:09:11,31,F,Frankonia,QA Engineer,7,Senior,44000,44000,,No,English,100-1000,Product
14/12/2018 18:09:27,26,M,Berlin,Computer Vision Engineer,2.5,Middle,50000,40000,,Yes,English,up to 10,Startup
14/12/2018 18:12:52,26,M,München,Java Developer,4,Middle,58000,48000,48000,No,English,100-1000,Agency
14/12/2018 18:16:05,,M,Berlin,DevOps,9,Middle,60000,50000,50000,No,English,10-50,Startup
14/12/2018 18:19:11,42,M,Stuttgart ,Digital Project Manager,3,Senior,60000,50000,41000,No,Deutsch,1000+,Personaldienstleister
14/12/2018 18:19:43,27,M,Berlin,Backend developer,3,Senior,64000,58000,50000,No,English,100-1000,Startup
14/12/2018 18:19:59,38,M,Berlin,PM,5,Senior,80000,80000,75000,Yes,English,10-50,Product
14/12/2018 18:21:16,24,M,München,Machine Learning Engineet,2,Middle,58000,24480,24480,No,English,10-50,Startup
14/12/2018 18:22:41,32,M,Berlin,Machine Learning Engineer,8,Senior,95000,88000,80000,Yes,English,50-100,Product
14/12/2018 18:23:04,28,F,Berlin,Frontend developer,6,Middle,50000,,,No,English,100-1000,Startup
14/12/2018 18:23:11,31,M,München,Lead Software Engineer,13,Senior,90000,75000,,No,English,100-1000,Product
14/12/2018 18:30:31,31,M,Stuttgart,Head of Development,12,Senior,75000,69000,60000,No,English,100-1000,Product
14/12/2018 18:44:00,31,M,Mannheim ,.net,4,Senior,46000,,,No,Deutsch,50-100,Startup
14/12/2018 18:47:44,30,M,Köln,Data scientist,5,Middle,80000,78000,72000,No,English,1000+,Product
14/12/2018 18:48:00,36,M,München,Data Scientist,5,Senior,92000,77000,,No,English,50-100,Agency
14/12/2018 18:51:51,24,M,München,IT Consultant,4,Middle,60000,55000,20000,No,English,100-1000,Agency
14/12/2018 18:59:10,33,M,Karlsruhe,Embedded SW Developer,13,Senior,90000,90000,85000,No,Deutsch,up to 10,
14/12/2018 19:01:15,34,F,München,C++ Developer ,6,Middle,63000,63000,55000,No,Deutsch,10-50,Product
14/12/2018 19:02:11,29,M,München,System Engineer,8,Senior,75000,65000,60000,Yes,English,50-100,Product
14/12/2018 19:03:58,,F,Berlin,Marketing Manager,,Senior,55000,45000,,Yes,English,100-1000,Startup
14/12/2018 19:04:15,22,M,München,Software developer,1.5,Junior,70000,,,Yes,English,1000+,Product
14/12/2018 19:05:11,42,M,Stuttgart,Erlang Developer,20,Senior,74000,,,No,English,50-100,Startup
14/12/2018 19:07:54,29,M,Berlin,backend developer,5,Middle,65000,57600,50000,Yes,English,50-100,Product
14/12/2018 19:08:18,29,M,Stuttgart,Computer Vision Engineer,6,Senior,125000,115000,90000,Yes,English,1000+,Product
14/12/2018 19:12:42,35,M,Berlin,Senior Software Engineer,10,Senior,68000,65000,60000,No,English,100-1000,Product
14/12/2018 19:13:13,36,M,Berlin,Engineer,13,Senior,80000,70000,66000,Yes,English,100-1000,Startup
14/12/2018 19:28:23,29,M,München,IT admin,7,Senior,40000,,,No,Deutsch,50-100,Product
14/12/2018 19:38:07,28,M,Stuttgart ,C++ Developer ,5,Middle,60000,60000,52000,No,English,100-1000,Agency
14/12/2018 19:38:08,32,M,Berlin,Senior Ruby Developer,13,Senior,65000,58000,51000,No,English,10-50,Startup
14/12/2018 19:43:14,38,M,Berlin,Senior Backend Engineer,15,Senior,92000,70000,60600,No,English,1000+,Product
14/12/2018 19:52:50,31,M,Berlin,Senior software engineer,8,Senior,75000,55000,45000,Yes,English,100-1000,Startup
14/12/2018 19:54:14,,F,Berlin,QA,5,Senior,70000,70000,70000,Yes,English,1000+,ipo
14/12/2018 19:54:47,38,F,München,Java Developer,16,Middle,58000,56000,54000,No,Deutsch,100-1000,Product
14/12/2018 20:13:28,30,M,Berlin,Senior Data Scientist,6,Senior,76000,,,No,English,1000+,e-commerce
14/12/2018 20:30:03,,M,Berlin,Senior Software Engineer,9,Senior,75000,73000,65000,No,English,100-1000,Product
14/12/2018 20:35:49,27,M,München,Fullstack JS,6,Senior,65000,,,No,English,10-50,Startup
14/12/2018 20:41:56,27,M,München,Senior Software Engineer,6,Senior,75000,71000,68000,No,English,1000+,Product
14/12/2018 20:53:08,36,M,Berlin,Java developer,12,Senior,80000,80000,80000,No,English,1000+,Product
14/12/2018 21:02:32,32,M,München,DevOps Engineer,9,Senior,80000,70000,,No,English,1000+,Outsource
14/12/2018 21:12:47,36,M,Berlin,Principal Engineer ,10,,83000,72000,69000,Yes,English,1000+,Product
14/12/2018 21:16:32,,M,München,PHP Dev,11,Senior,80000,65000,58000,No,Deutsch,1000+,Product
14/12/2018 21:19:11,32,M,Berlin,Big Data Engineer,5,Senior,87000,,60000,No,English,10-50,Startup
14/12/2018 21:19:23,,M,München,Senior Software Engineer,9,Senior,80000,66000,65000,No,English,50-100,Product
14/12/2018 21:21:01,26,M,München,Java Developer,3,Middle,58000,,,No,Russian,50-100,Product
14/12/2018 21:51:41,39,M,München,Software Engineer,15,Senior,68000,68000,64000,No,English,100-1000,Startup
14/12/2018 22:07:16,25,M,Berlin,C++ Developer,3,Middle,48500,46000,,No,English,10-50,Product
14/12/2018 22:08:18,,M,München,,,Senior,72000,65000,15000,Yes,English,10-50,Product
14/12/2018 22:11:43,31,M,Berlin,Java Developer ,0,Junior,49000,,,No,English,1000+,Product
14/12/2018 22:22:32,52,M,,Sysadmin,7,Middle,34000,34000,34000,No,Deutsch,up to 10,
14/12/2018 22:23:19,26,M,München,Low level software developer,5,Middle,68000,,,No,English,100-1000,Product
14/12/2018 22:24:18,28,M,Berlin,Full-stack Developer,7,Senior,75000,60000,,No,English,50-100,Startup
14/12/2018 22:26:29,31,M,Berlin,Lead Software Engineer,10,Senior,95000,82000,76000,Yes,English,1000+,Startup
14/12/2018 22:30:49,26,M,München,Software Engineer,7,Middle,70500,,,Yes,English,1000+,Product
14/12/2018 22:33:44,32,M,Berlin,Site Reliability engineer ,12,Senior,65000,65000,,No,English,100-1000,Product
14/12/2018 22:33:46,50,F,Bayern,Project manager,20,Senior,96000,94000,92000,No,Deutsch,100-1000,Product
14/12/2018 22:34:49,22,M,Berlin,Software Engineer ,5,Middle,65000,,,Yes,English,1000+,Product
14/12/2018 22:46:56,34,M,München,Architect,11,Senior,83000,75000,67000,No,Russian,100-1000,Product
14/12/2018 22:51:33,,F,München,Sales ops team lead ,4,Middle,78000,74000,68500,No,English,100-1000,Product
14/12/2018 23:07:56,33,F,Berlin,Manual QA,4,Middle,45000,,,No,English,up to 10,Startup
14/12/2018 23:32:06,,M,Berlin,Software developer,8,Middle,65000,50000,45000,No,English,100-1000,Product
14/12/2018 23:40:57,37,M,München,,10,Senior,120000,,,No,Deutsch,1000+,Product
14/12/2018 23:53:16,38,M,Berlin,Head of BI,5,Senior,85000,72000,45000,No,English,1000+,Product
