Cement,Slag,Fly ash,Water,SP,Coarse Aggr.,Fine Aggr.,SLUMP(cm)
172.0,162.1,238.5,166.0,7.4,953.3,641.4,0.0
172.8,158.3,239.5,166.4,7.4,952.6,644.1,0.0
184.3,153.4,239.2,179.0,7.5,920.2,640.9,0.0
215.6,112.9,239.0,198.7,7.4,884.0,649.1,27.5
295.3,0.0,239.9,236.2,8.3,780.3,722.9,25.0
248.3,101.0,239.1,168.9,7.7,954.2,640.6,0.0
248.0,101.0,239.9,169.1,7.7,949.9,644.1,2.0
258.8,88.0,239.6,175.3,7.6,938.9,646.0,0.0
297.1,40.9,239.9,194.0,7.5,908.9,651.8,27.5
348.7,0.1,223.1,208.5,9.6,786.2,758.1,29.0
