Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Gender,Age,Claim
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,PHILIPPINES,30.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,45,JAPAN,27.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,14,PHILIPPINES,14.0,0.0,,29,0
ART,Airlines,Online,24 Protect,11,PHILIPPINES,4.95,1.73,M,48,0
C2B,Airlines,Online,Annual Silver Plan,382,SINGAPORE,193.2,48.3,F,76,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,THAILAND,29.0,0.0,,28,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,UNITED STATES,49.5,29.7,,29,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,69,HONG KONG,20.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,MALAYSIA,19.8,11.88,,37,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,47,AUSTRALIA,49.5,29.7,,56,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,25,HONG KONG,56.0,0.0,,36,0
RAB,Airlines,Online,Value Plan,5,BRUNEI DARUSSALAM,15.0,6.0,F,28,0
EPX,Travel Agency,Online,Cancellation Plan,183,MALAYSIA,10.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,20,THAILAND,18.0,6.3,M,51,0
EPX,Travel Agency,Online,Cancellation Plan,31,SINGAPORE,10.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,22,"KOREA, REPUBLIC OF",38.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,9,THAILAND,18.0,6.3,F,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,192,GERMANY,99.0,59.4,,31,0
EPX,Travel Agency,Online,Cancellation Plan,5,SINGAPORE,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,84,SINGAPORE,19.0,0.0,,26,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,62,"TAIWAN, PROVINCE OF CHINA",40.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,43,VIET NAM,20.0,0.0,,36,1
C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,23.5,5.88,F,31,0
SSI,Airlines,Online,Ticket Protector,17,SINGAPORE,12.16,3.41,,48,0
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,20.0,5.0,M,31,0
EPX,Travel Agency,Online,Cancellation Plan,15,SINGAPORE,19.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,86,MALAYSIA,10.0,0.0,,50,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,15,AUSTRALIA,59.4,35.64,,31,0
JZI,Airlines,Online,Basic Plan,10,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,M,44,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,27,THAILAND,20.0,0.0,,35,0
C2B,Airlines,Online,Bronze Plan,39,SINGAPORE,53.5,13.38,F,28,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,6,UNITED KINGDOM,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,99,UNITED STATES,112.0,0.0,,46,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,23,UNITED STATES,20.0,0.0,,41,0
C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,39.0,9.75,F,64,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,28,AUSTRALIA,128.7,77.22,,41,0
EPX,Travel Agency,Online,Cancellation Plan,12,INDIA,13.0,0.0,,46,0
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,21.0,5.25,F,32,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,MALAYSIA,19.8,11.88,,30,0
C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,20.0,5.0,F,73,0
EPX,Travel Agency,Online,Cancellation Plan,5,SINGAPORE,10.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,65,MYANMAR,20.0,0.0,,35,0
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,60.0,15.0,M,50,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,52,GERMANY,77.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,14,INDIA,23.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,1,VIET NAM,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,7,MALDIVES,28.0,0.0,,54,0
C2B,Airlines,Online,Bronze Plan,29,SINGAPORE,27.0,6.75,F,31,0
SSI,Airlines,Online,Ticket Protector,22,SINGAPORE,6.43,1.8,,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,30,VIET NAM,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,65,THAILAND,66.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,34,HONG KONG,19.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,84,CHINA,69.0,24.15,M,14,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,MALAYSIA,0.0,11.88,,31,0
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,44.85,11.21,F,40,0
EPX,Travel Agency,Online,Cancellation Plan,15,AUSTRALIA,37.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,149,UNITED STATES,84.0,0.0,,33,0
JZI,Airlines,Online,Basic Plan,13,MALAYSIA,33.0,11.55,M,45,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,THAILAND,20.0,0.0,,27,0
EPX,Travel Agency,Online,Cancellation Plan,5,MALAYSIA,10.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,CHINA,0.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,47,CHINA,32.0,0.0,,36,0
SSI,Airlines,Online,Ticket Protector,0,SINGAPORE,3.99,1.12,,48,0
JZI,Airlines,Online,Basic Plan,167,PHILIPPINES,22.0,7.7,F,55,0
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,301.0,75.25,M,41,0
JZI,Airlines,Online,Basic Plan,20,THAILAND,18.0,6.3,M,30,0
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,16.2,4.05,M,53,0
EPX,Travel Agency,Online,Cancellation Plan,30,MALAYSIA,10.0,0.0,,27,0
EPX,Travel Agency,Online,Cancellation Plan,127,SWITZERLAND,15.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,THAILAND,30.0,0.0,,35,0
EPX,Travel Agency,Online,Cancellation Plan,9,UNITED KINGDOM,80.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,51,JAPAN,47.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,85,PHILIPPINES,20.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,3,INDONESIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,17,RUSSIAN FEDERATION,89.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,19,"TAIWAN, PROVINCE OF CHINA",27.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,73,INDIA,18.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,UNITED ARAB EMIRATES,49.5,29.7,,36,0
EPX,Travel Agency,Online,Cancellation Plan,38,PORTUGAL,39.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,UNITED STATES,105.0,0.0,,39,0
EPX,Travel Agency,Online,Cancellation Plan,154,"KOREA, REPUBLIC OF",40.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,50,SINGAPORE,69.55,17.39,F,29,0
JZI,Airlines,Online,Basic Plan,1,INDONESIA,18.0,6.3,F,33,0
C2B,Airlines,Online,Gold Plan,14,SINGAPORE,47.45,11.86,F,23,0
JZI,Airlines,Online,Basic Plan,55,"TAIWAN, PROVINCE OF CHINA",22.0,7.7,M,46,0
JZI,Airlines,Online,Basic Plan,5,MALAYSIA,22.0,7.7,M,60,0
EPX,Travel Agency,Online,Cancellation Plan,100,SINGAPORE,21.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,30,UNITED STATES,10.0,0.0,,26,0
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,38.35,9.59,M,72,0
EPX,Travel Agency,Online,Cancellation Plan,11,MONGOLIA,26.0,0.0,,36,0
JWT,Airlines,Online,Value Plan,21,INDIA,120.0,48.0,M,118,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,SINGAPORE,38.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,90,AUSTRALIA,9.9,5.94,,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,VIET NAM,36.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,"KOREA, REPUBLIC OF",29.7,17.82,,27,0
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,M,41,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,FRANCE,82.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,72,PHILIPPINES,11.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,30,SINGAPORE,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,5,CHINA,28.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,AUSTRALIA,39.6,23.76,,56,0
EPX,Travel Agency,Online,Cancellation Plan,22,INDIA,25.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,2,SINGAPORE,20.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,56,THAILAND,22.0,7.7,M,52,0
JZI,Airlines,Online,Basic Plan,19,PHILIPPINES,37.0,12.95,F,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,39,JAPAN,73.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,80,SOUTH AFRICA,71.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,27,SINGAPORE,88.5,22.13,M,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,52,SOUTH AFRICA,49.5,29.7,,59,0
JZI,Airlines,Online,Basic Plan,53,NEPAL,55.0,19.25,F,64,0
JZI,Airlines,Online,Basic Plan,2,CHINA,22.0,7.7,F,29,0
EPX,Travel Agency,Online,Cancellation Plan,10,MALAYSIA,10.0,0.0,,22,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,42,AUSTRALIA,76.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,AUSTRALIA,128.7,77.22,,61,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,AUSTRALIA,0.0,17.82,,31,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,ICELAND,29.7,17.82,,24,0
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,216.0,54.0,F,55,0
JZI,Airlines,Online,Value Plan,167,GERMANY,87.0,30.45,F,37,0
C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,252.85,63.21,M,21,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,THAILAND,69.3,41.58,,42,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,43,CHINA,27.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,MALAYSIA,39.6,23.76,,28,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,43,AUSTRALIA,108.9,65.34,,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,34,SRI LANKA,33.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,38,SINGAPORE,22.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,5,CHINA,43.0,0.0,,35,0
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,22.5,5.63,F,45,0
EPX,Travel Agency,Online,Cancellation Plan,9,INDONESIA,37.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,201,NEPAL,37.0,0.0,,36,1
JZI,Airlines,Online,Basic Plan,68,PHILIPPINES,37.0,12.95,F,41,0
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,F,27,0
EPX,Travel Agency,Online,Cancellation Plan,20,MALAYSIA,13.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,17,THAILAND,11.0,0.0,,30,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,5,SINGAPORE,35.0,0.0,,53,0
EPX,Travel Agency,Online,Cancellation Plan,76,INDONESIA,11.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,12,MALAYSIA,22.0,7.7,M,50,0
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,52.0,13.0,F,27,0
EPX,Travel Agency,Online,Cancellation Plan,11,NETHERLANDS,26.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,1,MEXICO,30.0,0.0,,47,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,23,CAMBODIA,30.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,27,AUSTRALIA,39.6,23.76,,59,0
EPX,Travel Agency,Online,Cancellation Plan,13,INDIA,28.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,THAILAND,49.5,29.7,,33,0
JZI,Airlines,Online,Basic Plan,30,THAILAND,22.0,7.7,M,52,0
EPX,Travel Agency,Online,Cancellation Plan,22,MYANMAR,15.0,0.0,,36,0
CCR,Travel Agency,Offline,Comprehensive Plan,34,THAILAND,0.0,9.57,F,118,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,NEW ZEALAND,29.7,17.82,,51,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,47,AUSTRALIA,0.0,29.7,,34,0
EPX,Travel Agency,Online,Cancellation Plan,48,THAILAND,38.0,0.0,,32,0
RAB,Airlines,Online,Value Plan,2,BRUNEI DARUSSALAM,15.0,6.0,M,66,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,57,VANUATU,94.0,0.0,,35,0
EPX,Travel Agency,Online,Cancellation Plan,53,AUSTRIA,72.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,31,MALAYSIA,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,22,INDONESIA,10.0,0.0,,27,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,78,CHINA,47.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,9,"KOREA, REPUBLIC OF",14.0,0.0,,22,0
EPX,Travel Agency,Online,Cancellation Plan,177,SINGAPORE,24.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,47.5,11.88,F,42,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,ISRAEL,59.4,35.64,,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,211,JAPAN,-51.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,55,SINGAPORE,10.0,0.0,,36,0
RAB,Airlines,Online,Value Plan,7,BRUNEI DARUSSALAM,15.0,6.0,,24,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,GERMANY,9.9,5.94,,42,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,MALAYSIA,19.8,11.88,,61,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,UNITED STATES,80.0,0.0,,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,7,THAILAND,28.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,MALAYSIA,39.6,23.76,,52,0
EPX,Travel Agency,Online,Cancellation Plan,213,"TAIWAN, PROVINCE OF CHINA",30.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,9,CHINA,14.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,43,VIET NAM,15.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,20,CANADA,79.2,47.52,,54,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,AUSTRALIA,89.1,53.46,,37,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,2,SINGAPORE,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,CAMBODIA,32.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,75,SINGAPORE,15.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,15,PHILIPPINES,22.0,7.7,M,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,154,AUSTRALIA,108.9,65.34,,41,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,9,UNITED STATES,20.0,0.0,,44,0
SSI,Airlines,Online,Ticket Protector,110,SINGAPORE,4.88,1.37,,48,0
EPX,Travel Agency,Online,Cancellation Plan,22,THAILAND,52.0,0.0,,51,0
C2B,Airlines,Online,Bronze Plan,80,SINGAPORE,152.0,38.0,M,27,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,65,CHINA,27.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,12,PHILIPPINES,18.0,6.3,M,34,0
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,10,JAPAN,33.0,21.45,M,37,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,MALAYSIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,42,"KOREA, REPUBLIC OF",33.0,0.0,,36,0
CCR,Travel Agency,Offline,Comprehensive Plan,12,THAILAND,29.0,9.57,F,84,0
EPX,Travel Agency,Online,Cancellation Plan,5,ROMANIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,89,MYANMAR,11.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,12,HONG KONG,26.0,9.1,M,48,0
EPX,Travel Agency,Online,Cancellation Plan,1,GERMANY,11.0,0.0,,36,0
TST,Travel Agency,Offline,Travel Cruise Protect,71,THAILAND,30.0,10.5,F,51,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,15,CHINA,37.0,0.0,,35,0
EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,10.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,PHILIPPINES,56.0,0.0,,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,DENMARK,49.5,29.7,,50,0
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,13.5,3.38,M,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,41,CAMBODIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,15,UNITED KINGDOM,72.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,MALAYSIA,39.6,23.76,,40,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,96,"KOREA, REPUBLIC OF",20.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,52,SINGAPORE,93.0,23.25,M,21,0
JZI,Airlines,Online,Basic Plan,110,HONG KONG,26.0,9.1,M,52,0
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,3,THAILAND,26.5,17.23,M,44,0
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,M,42,0
EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,11.0,0.0,,36,0
SSI,Airlines,Online,Ticket Protector,5,SINGAPORE,7.71,2.16,,48,0
EPX,Travel Agency,Online,Cancellation Plan,48,INDIA,10.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,187,MALAYSIA,22.0,7.7,M,41,0
C2B,Airlines,Online,Annual Silver Plan,387,SINGAPORE,291.75,72.94,F,51,0
JZI,Airlines,Online,Value Plan,34,LAO PEOPLE'S DEMOCRATIC REPUBLIC,39.0,13.65,M,62,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,103,VIET NAM,20.0,0.0,,52,0
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,23.5,5.88,M,37,0
EPX,Travel Agency,Online,Cancellation Plan,62,UNITED STATES,80.0,0.0,,34,0
C2B,Airlines,Online,Annual Silver Plan,384,SINGAPORE,259.2,64.8,F,53,0
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,0.0,6.13,M,35,0
C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,33.5,8.38,F,63,0
EPX,Travel Agency,Online,Cancellation Plan,17,INDONESIA,10.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,14,"TAIWAN, PROVINCE OF CHINA",50.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,16,"KOREA, REPUBLIC OF",52.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,84.0,21.0,M,42,0
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,58.2,14.55,F,44,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,MALAYSIA,29.7,17.82,,53,0
JZI,Airlines,Online,Basic Plan,8,CAMBODIA,22.0,7.7,M,47,0
EPX,Travel Agency,Online,Cancellation Plan,1,MALAYSIA,10.0,0.0,,34,0
C2B,Airlines,Online,Silver Plan,44,SINGAPORE,84.5,21.13,F,29,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,2,MALAYSIA,19.8,11.88,,50,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,THAILAND,49.0,0.0,,35,0
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,13.5,3.38,M,60,0
EPX,Travel Agency,Online,Cancellation Plan,43,SINGAPORE,10.0,0.0,,46,0
JZI,Airlines,Online,Basic Plan,19,MYANMAR,18.0,6.3,F,28,0
EPX,Travel Agency,Online,Cancellation Plan,8,JAPAN,13.0,0.0,,28,0
JZI,Airlines,Online,Value Plan,117,UNITED STATES,164.0,57.4,M,45,0
JZI,Airlines,Online,Basic Plan,9,MALAYSIA,18.0,6.3,M,53,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,MALAYSIA,0.0,11.88,,54,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,29,THAILAND,20.0,0.0,,22,0
C2B,Airlines,Online,Annual Gold Plan,378,SINGAPORE,333.0,83.25,M,60,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,40,SINGAPORE,31.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,26,THAILAND,22.0,7.7,M,36,0
EPX,Travel Agency,Online,Cancellation Plan,45,INDIA,22.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,39,CHINA,22.0,7.7,F,41,0
EPX,Travel Agency,Online,Cancellation Plan,71,CHINA,18.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,37,INDONESIA,10.0,0.0,,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,THAILAND,58.0,0.0,,36,0
RAB,Airlines,Online,Value Plan,18,BRUNEI DARUSSALAM,23.0,9.2,,29,0
EPX,Travel Agency,Online,Cancellation Plan,83,PHILIPPINES,10.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,34,SINGAPORE,62.0,15.5,F,60,0
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,20.0,5.0,M,41,0
JZI,Airlines,Online,Basic Plan,38,INDONESIA,18.0,6.3,M,56,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39,ITALY,227.7,136.62,,37,0
EPX,Travel Agency,Online,Cancellation Plan,54,CHINA,57.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,24,"KOREA, REPUBLIC OF",65.0,0.0,,28,0
C2B,Airlines,Online,Annual Silver Plan,380,SINGAPORE,0.0,54.0,F,28,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,106,AUSTRALIA,59.4,35.64,,36,0
EPX,Travel Agency,Online,Cancellation Plan,7,VIET NAM,38.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,8,CHINA,20.0,0.0,,24,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,32,THAILAND,21.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,15,MALAYSIA,10.0,0.0,,28,0
EPX,Travel Agency,Online,Cancellation Plan,6,UNITED STATES,43.0,0.0,,29,0
KML,Travel Agency,Online,Value Plan,20,INDONESIA,22.0,8.36,F,48,0
SSI,Airlines,Online,Ticket Protector,21,SINGAPORE,1.93,0.54,,48,0
EPX,Travel Agency,Online,Cancellation Plan,26,JAPAN,38.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,7,INDIA,10.0,0.0,,43,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,37,PHILIPPINES,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,MYANMAR,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,2,SINGAPORE,10.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,17.0,4.25,M,43,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,INDIA,25.0,0.0,,36,0
